Oviedo,Queue,RD,Newton
4.40982914294171e-6,4.410797413533079e-6,4.409828600095316e-6,4.410797436665539e-6
4.408860700414432e-6,4.4107973876735014e-6,4.409344276626669e-6,1.4551399286968716e-8
4.407891940038288e-6,4.410797355706352e-6,4.409020986645314e-6,2.448871346944799e-13
4.406923036433725e-6,4.410797341886298e-6,4.408743630437517e-6,
4.4059538497494815e-6,4.410797341840581e-6,4.408500271309944e-6,
4.404984440949598e-6,4.4107973401627975e-6,4.408277844997355e-6,
4.404014936557274e-6,4.41079732673491e-6,4.408073379317093e-6,
4.4030450677765e-6,4.410797221860234e-6,4.40788177017706e-6,
4.402075054224074e-6,4.410797169307876e-6,4.407701512522494e-6,
4.4011047988402354e-6,4.410797169237292e-6,4.407530346737619e-6,
4.400134273528026e-6,4.4107971136930705e-6,4.407367153328228e-6,
4.399163652629401e-6,4.410797111513678e-6,4.4072106709327085e-6,
4.398192667729611e-6,4.410797098657912e-6,4.407060438254015e-6,
4.397221536536502e-6,4.410796973128483e-6,4.4069154968110785e-6,
4.396250161135459e-6,4.41079693628491e-6,4.406775432339532e-6,
4.395278556055637e-6,4.410796909204385e-6,4.406639732458486e-6,
4.394306811254787e-6,4.410796864666535e-6,4.406508031398087e-6,
4.393334749127696e-6,4.410796822265772e-6,4.40638001399937e-6,
4.392362539535131e-6,4.4107968176501545e-6,4.4062553649339825e-6,
4.391390036867504e-6,4.410796722239017e-6,4.406133788420065e-6,
4.390417304342912e-6,4.410796645334109e-6,4.406015136483345e-6,
4.389444430545137e-6,4.41079660619109e-6,4.405899093008911e-6,
4.388471238488737e-6,4.410796436240227e-6,4.4057855869496555e-6,
4.387497899383761e-6,4.410796209161789e-6,4.405674440084564e-6,
4.38652430644956e-6,4.410796208327218e-6,4.40556552943983e-6,
4.385550438097669e-6,4.410796206222883e-6,4.405458676618879e-6,
4.384576472372993e-6,4.41079618785553e-6,4.405353827316472e-6,
4.383602189677019e-6,4.410796151476652e-6,4.4052508341888165e-6,
4.382627758351287e-6,4.410796079023033e-6,4.405149533732036e-6,
4.381653027282172e-6,4.410796073631995e-6,4.40504990481288e-6,
4.380678061464626e-6,4.4107960626955586e-6,4.404951780136471e-6,
4.379702951750789e-6,4.410796060140702e-6,4.404855234552975e-6,
4.378727525020663e-6,4.410796019710911e-6,4.404760191467317e-6,
4.377751948103206e-6,4.410796018878802e-6,4.404666498539633e-6,
4.3767761133956815e-6,4.410795797899139e-6,4.404574090228697e-6,
4.3758000427321664e-6,4.410795701651607e-6,4.404482929700041e-6,
4.37482387395949e-6,4.410795680902947e-6,4.40439303702555e-6,
4.37384734327821e-6,4.410795670145716e-6,4.404304327415075e-6,
4.3728707057791086e-6,4.410795661560325e-6,4.404216796010701e-6,
4.371893807938274e-6,4.410795661303998e-6,4.404130340087442e-6,
4.3709166698420585e-6,4.410795618719959e-6,4.404044872221786e-6,
4.3699393874043745e-6,4.410795599120516e-6,4.4039604367274215e-6,
4.368961744640739e-6,4.410795551708453e-6,4.403876947878816e-6,
4.36798394773519e-6,4.410795477391479e-6,4.40379433568756e-6,
4.3670059298588945e-6,4.410795406583936e-6,4.403712703459257e-6,
4.366027671869504e-6,4.410795391566612e-6,4.403631977854155e-6,
4.365049268980873e-6,4.410795373402485e-6,4.403551976216899e-6,
4.364070505448837e-6,4.410795352379935e-6,4.403472851034039e-6,
4.363091631498512e-6,4.410795352145847e-6,4.4033944338855455e-6,
4.362112537625011e-6,4.410795282423409e-6,4.403316850662298e-6,
