Oviedo,Queue,RD,Newton
4.709375740647976e15,4.709375740647976e15,4.709375740648016e15,1.5894143113677514e16
1.395370591996362e15,1.395370591996362e15,1.395370591996359e15,4.709375740647998e15
4.134431398191044e14,4.134431398191058e14,4.134431398191061e14,1.3953705919963565e15
1.2250167202405605e14,1.2250167202405589e14,1.225016720240516e14,4.134431398191045e14
3.6296792355193734e13,3.6296792355194e13,3.629679235519825e13,1.2250167202405525e14
1.0754605571854637e13,1.0754605571854623e13,1.0754605571850102e13,3.629679235519271e13
3.1865500854511494e12,3.1865500854510776e12,3.1865500854519155e12,1.0754605571854617e13
9.441631792039312e11,9.441631792039171e11,9.441631792051909e11,3.1865500854510947e12
2.797521803787688e11,2.797521803787708e11,2.7975218037834564e11,9.44163179203948e11
8.288961978113133e10,8.288961978112917e10,8.288961978102403e10,2.7975218037876215e11
2.4559943911767513e10,2.4559943911767033e10,2.4559943911768635e10,8.288961978114415e10
7.277058130854112e9,7.277058130854498e9,7.277058130867019e9,2.455994391177288e10
2.156190513413138e9,2.156190513413144e9,2.1561905134130335e9,7.277058130849412e9
6.388880235208589e8,6.388880235197091e8,6.388880235425887e8,2.1561905134135823e9
1.8931132776137066e8,1.893113277617795e8,1.8931132787192872e8,6.388880235201228e8
5.609969237241787e7,5.6099692372282244e7,5.609969273836446e7,1.8931132776167127e8
1.6627093830722371e7,1.662709383076369e7,1.6627095060024126e7,5.6099692372173615e7
4.9298518460157635e6,4.929851846056988e6,4.929855921568796e6,1.6627093830797272e7
1.462896037930507e6,1.462896037944744e6,1.4629088694825824e6,4.929851846032694e6
434910.0052147208,434910.0052162118,434952.1810194214,1.4628960379450272e6
129824.67318432817,129824.67318226148,129961.70234445263,434910.0052077936
39091.768869763124,39091.76886951323,39513.42299317622,129824.67318189172
11972.281712827857,11972.281713130025,13272.442451096163,39091.7688705793
3757.680874078107,3757.680874085082,6781.521221918077,11972.281712765203
1157.183127738808,1157.1831277527635,5581.384786931082,3757.6808742329595
230.97435295972903,230.9743528992091,4173.397138918937,1157.1831277833735
4.328544343029599,4.328544344840652,1232.328732083965,230.97435293352967
3.014363959897398e-5,3.0196952044332862e-5,16.65187899906671,4.328544325309101
1.211540546543518e-8,8.112964640986372e-9,2.760361325965299e-5,3.015217075404156e-5
1.1410780703299628e-8,3.084040574217018e-8,1.1897936275207104e-7,5.31378609035378e-9
4.8770244357207475e-9,5.156175652157716e-9,4.959375933768339e-8,5.240992719048287e-9
4.245194164522077e-9,1.670259711481554e-8,4.063000302474396e-8,4.42281594670272e-9
1.6363491239038957e-9,1.1393933275265642e-8,4.6840701238588266e-8,4.070504128089173e-9
1.6363491239038957e-9,3.1398198542261484e-8,3.7683534591629755e-8,1.7615607225897693e-9
1.6363491239038957e-9,5.6754179527101616e-8,3.197715613376937e-8,1.7615601204429378e-9
1.6363491239038957e-9,2.9252191908028945e-8,2.922443099270575e-8,1.5752135905833847e-9
1.6363491239038957e-9,7.33881812640362e-8,5.614168875611172e-8,1.5024215957489633e-9
1.6363491239038957e-9,2.7801413465689706e-8,3.037294343472248e-8,1.5024210840934912e-9
1.6363491239038957e-9,3.943174401381314e-8,3.967378116513346e-8,1.5024205591623598e-9
1.6363491239038957e-9,7.982520102281541e-9,2.139082926827078e-8,1.5024199009325558e-9
1.6363491239038957e-9,9.018426684125001e-8,1.7397446242008632e-8,1.2432821527302853e-9
1.6363491239038957e-9,2.367800109121456e-9,3.249788042321365e-8,1.150108829685578e-9
1.6363491239038957e-9,6.050476935101712e-8,1.5011734565850974e-8,1.1501084326344492e-9
1.6363491239038957e-9,5.6646338263915354e-9,1.3347116274869968e-8,4.0472436537268553e-10
1.6363491239038957e-9,6.814220561283381e-8,1.089407992895582e-8,3.319328049781989e-10
1.6363491239038957e-9,2.0502775444204704e-8,1.8386323454078114e-8,3.31932687122682e-10
1.6363491239038957e-9,2.272627334632115e-8,2.4604243380189208e-8,3.319326076040878e-10
1.6363491239038957e-9,5.166831403421376e-8,3.075727283679205e-8,3.3193256384854433e-10
1.6363491239038957e-9,1.8333208578251262e-9,8.788919029546906e-9,3.319325194156725e-10
1.6363491239038957e-9,1.9765219974313057e-8,3.3557241352996006e-8,3.319324808078431e-10
1.6363491239038957e-9,6.875273167261408e-8,8.783986771744334e-8,3.319324547983588e-10
1.6363491239038957e-9,3.6107969397573557e-8,3.1544738244931566e-8,3.3193243515577957e-10
1.6363491239038957e-9,6.871195824498717e-8,4.447809982035749e-8,3.3193241537773473e-10
1.6363491239038957e-9,5.7767855397265726e-8,5.37448602783215e-8,3.3193238882638695e-10
1.6363491239038957e-9,5.569533044867565e-8,8.751760357202679e-8,3.319323687774102e-10
1.6363491239038957e-9,4.534124923385138e-8,2.6973844981670092e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.5310405481673766e-8,1.5822114213721945e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.6694663249575e-8,2.8045743918708802e-8,3.3193234859296757e-10
1.6363491239038957e-9,2.6243255393276194e-9,3.873466183525587e-8,3.3193234859296757e-10
1.6363491239038957e-9,4.7345461723101693e-8,1.8313781186097417e-8,3.3193234859296757e-10
1.6363491239038957e-9,1.1087620434981463e-7,6.232451678189502e-9,3.3193234859296757e-10
1.6363491239038957e-9,6.474084470666703e-8,4.8843883746550775e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.325915232446907e-8,7.790125432990814e-9,3.3193234859296757e-10
1.6363491239038957e-9,1.760106025184546e-8,2.6805732945209362e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.1847410512122584e-8,7.72025733581101e-9,3.3193234859296757e-10
1.6363491239038957e-9,2.9247870549441563e-8,2.8654248596994836e-8,3.3193234859296757e-10
1.6363491239038957e-9,4.950051446046878e-8,7.710274302201398e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.256433239676182e-9,5.001193133229226e-8,3.3193234859296757e-10
1.6363491239038957e-9,4.2519330181487646e-8,8.616226279740949e-9,3.3193234859296757e-10
1.6363491239038957e-9,2.780613987548969e-9,1.3367894201336934e-8,3.3193234859296757e-10
1.6363491239038957e-9,2.51716033380444e-8,1.1866202017614899e-8,3.3193234859296757e-10
1.6363491239038957e-9,2.6979307713628314e-8,1.4712953088604901e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.0831279014360596e-8,6.959522971766567e-9,3.3193234859296757e-10
1.6363491239038957e-9,2.5098507515297695e-8,1.453366702411713e-8,3.3193234859296757e-10
1.6363491239038957e-9,4.3577849180008474e-8,2.4475024101857155e-8,3.3193234859296757e-10
1.6363491239038957e-9,4.9808178598545346e-8,4.741631564399755e-8,3.3193234859296757e-10
1.6363491239038957e-9,6.0467890948920895e-9,7.416602662924527e-8,3.3193234859296757e-10
1.6363491239038957e-9,3.9577034982130456e-8,3.1685080591838267e-8,3.3193234859296757e-10
1.6363491239038957e-9,7.333213707459853e-8,1.3333812234304107e-8,3.3193234859296757e-10
1.6363491239038957e-9,1.0805291945711258e-8,7.433205770230678e-8,3.3193234859296757e-10
1.6363491239038957e-9,1.4636123430067607e-8,4.638801745778626e-8,3.3193234859296757e-10
1.6363491239038957e-9,8.474615881857004e-9,2.4110347749780834e-9,3.3193234859296757e-10
1.6363491239038957e-9,3.202819987866564e-8,2.5610310082169682e-8,3.3193234859296757e-10
1.6363491239038957e-9,9.050761038033208e-8,2.5170014767864213e-8,3.3193234859296757e-10
