Oviedo,Queue,RD,Newton
1.2209748816749016e6,1.2209747791596295e6,7.878967611416497e9,5336.242106140561
360695.015256372,360695.0062158273,3.2030622699550486e9,7.878841745027261e9
109496.70107695964,109453.12662400152,1.0096066238829732e9,2.8755840069899836e9
32472.000972741032,32449.251280769287,6.81036299547942e7,1.2012784064913845e9
8344.461293997816,8332.030304293152,1.479670182139457e11,2.4260152505555695e8
1038.4691708156886,1241.785748190289,4.3929567708683044e10,3.0575125451885664e8
141312.58552503012,1.199385948198109e9,1.2982732695725271e10,2.1424907270408854e9
1226.4406797932102,3.553873707098427e8,3.39900964758461e9,6.000360097678047e8
18429.469132948187,1.0529946528678049e8,7.231866324558161e8,1.1816684426375269e10
5544.765504724263,3.1199121758059565e7,3.9639577931451744e8,1.1501482313251909e11
1225.7707024749982,9.242835900114635e6,1.7522621750508896e10,2.993688972523385e10
15612.749363520299,2.735124285654258e6,5.244767878130148e9,4.3762124869151095e15
165396.37756674626,801964.4785824943,2.161978604352303e9,1.2966765660404592e15
38093.45574815678,198244.51628584726,4.2585883411949997e9,3.8422257870062325e14
21048.30657278467,8.36649597663585e7,1.236609967298399e9,1.13869037102192e14
5920.964735087682,2.4779970699538894e7,1.8467641793940932e8,3.3770037791019605e13
1333.4117493202177,7.330268899879757e6,6.984250790091256e6,1.0040543018780791e13
4142.561652530965,2.147021607090001e6,1.8484919002560118e8,2.9968394624291816e12
2295.6726844519585,465119.6327263892,3.082212430356052e8,9.085319588097008e11
1049.2227397981544,1.2493142476433655e11,1.1870082723896141e11,2.858085321036612e11
559.6528338143969,3.701681178351638e10,3.499200742476666e10,1.4801146434856515e15
286.27098021159276,1.09680032944121e10,9.875927888541096e9,5.317513274402569e15
427.1740775647501,3.249826844651797e9,2.63669638926851e9,5.677489550641562e15
143.92238657604415,9.632035008795475e8,1.0727588677870895e10,4.3960393205595283e17
25.086898085947198,2.8512655229819614e8,1.8277372953588723e12,1.3012055268710622e17
0.9169805772483562,8.397878260218792e7,5.406161184853906e11,3.827000311062948e16
0.001268959915217893,2.4166733833621778e7,1.6198653245365784e11,1.0364720840372122e16
2.435707385385016e-9,5.680861147097794e6,4.361380407246514e10,1.9552630436217555e17
,1.6356838974528522e6,2.876347996505233e9,6.848443500327542e17
,1.3339715366478506e6,1.3984800658635082e9,1.6195482735871625e19
,37128.99899462115,5.389751579361929e8,4.618096848190542e18
,113819.0094688015,5.576082215533761e8,7.713282793763163e27
,35860.54430507842,2.87760729226652e8,2.2854176554327752e27
,13033.04667960488,5.986368289632901e6,6.771609763503947e26
,39245.655343180995,2.1222861467215545e6,2.0064005011505908e26
,6623.057781103705,1.7522742282196514e6,5.944920999553389e25
,94274.99861199629,971333.6580670113,1.7614704312943545e25
,28271.549793347975,1384.246761391172,5.219284565971861e24
,6.26665476884856e6,48.252967649833316,1.5464852849913088e24
,1.850719606020119e6,0.4924353864925434,4.581946712838418e23
,541528.2282460539,7.573312297470427e-5,1.3562744905965135e23
,189726.13138694788,1.349705036808382e-12,3.979172075410514e22
,1.2679957587433113e6,,8.553037737349187e21
,3.881601842994753e7,,5.016671833813916e21
,2.9649102540648367e7,,6.025365051533324e20
,6987.060868454524,,2.0408669474325468e18
,68732.45246102293,,1.161728488676771e18
,19644.17289979909,,3.8980198429306195e17
,5245.2637200221425,,3.184147565282448e16
,4236.955305931672,,2.905008736490399e17
,4854.0325089539065,,7.425654774507365e16
,1038.941220159381,,5.582659129520188e19
,157.06816395835898,,1.6545219586471651e19
,1.401837681205103,,4.89251434859347e18
,9.854824958311075e-5,,1.4444336806893837e18
,1.1487534315621004e-12,,3.991381646828359e17
,,,2.647139823078046e24
,,,7.843379703348448e23
,,,2.3239636371871796e23
,,,6.885815444508649e22
,,,2.040232539240818e22
,,,6.045038896841153e21
,,,1.7909965576335652e21
,,,5.3051654193339505e20
,,,1.5699035984095756e20
,,,4.620874201139878e19
,,,1.2932536238561968e19
,,,2.5005869552039048e20
,,,6.402369478051403e19
,,,1.0591764741164893e21
,,,3.082720739633011e20
,,,1.0821316029480547e20
,,,4.251967635930224e18
,,,1.1149495036033987e19
,,,5.927631485827884e20
,,,1.0961388392658176e25
,,,3.247997326736895e24
,,,9.622717935987686e23
,,,2.849243283070955e23
,,,8.377254307740463e22
,,,2.2525947259714154e22
,,,9.244171225613263e22
,,,9.170500324710129e27
,,,2.717196210267779e27
,,,8.051011465800146e26
,,,2.385501035068377e26
,,,7.067664536653768e25
,,,2.091770876785272e25
,,,6.233119455696415e24
,,,1.8532045544196864e24
,,,5.612698351292198e23
,,,7.719826102096047e25
,,,2.280791491501276e25
,,,4.744381630248333e26
,,,1.2102015045873503e26
,,,2.5668317230965615e29
,,,4.8398718846480104e28
,,,4.41031475834041e29
,,,3.8802035532149035e29
,,,3.1242871770476926e29
