Oviedo,Queue,RD,Newton,BFGS
12.760010700423562,13.605801857735457,12.85973875112661,27.75,0.0
2.135451886350324e11,7.987969529268226,131.25928311421063,0.0,
6.7075066268082146e10,7.54069125144929,42.54646426469629,,
2.168169491957313e10,319029.1466804876,11.22173825019438,,
7.169756040984419e9,111749.98336661144,4.936673447342977,,
2.3630248110620265e9,29186.479662617883,4.367198443509255,,
7.793928120878444e8,9804.388663032183,8.126071363330934e8,,
2.5163713241050437e8,3032.9302348432834,2.287511475847678e8,,
8.149015890344156e7,912.9910828606628,3.376749273075372e7,,
2.6930264991437737e7,253.19456584592106,1.1143736414301883e7,,
8.835242186154434e6,50.67932500285954,3.6796378538322765e6,,
2.9274688750590323e6,17.091257209787635,1.2155438612084743e6,,
979743.9516593857,0.4249160322015834,402664.02684031776,,
332985.1370594902,0.01659594242874128,135188.68187988488,,
116204.42654860804,0.016595151644060467,45738.14863927321,,
43256.69495164157,2.8311005599479414e18,15641.714098805021,,
307436.527396938,9.540552365483882e17,5616.483978943021,,
106802.06424149124,3.17148638048848e17,919362.932724267,,
37152.10826828574,9.335493985166586e16,306791.5621209797,,
13631.337012687092,2.965361496438897e16,103319.726232008,,
131344.7954991806,9.624516590565938e15,35728.83302914464,,
45671.92829238864,2.8090164001516675e15,13263.813509324658,,
16039.286124447563,9.496705256904064e14,92577.23129555935,,
5860.684665579421,3.1120869031110975e14,31822.90627797954,,
78470.06564984,1.0199127867934117e14,11373.59336068158,,
26917.026748195804,3.342779405823165e13,1.7459473332008335e6,,
52737.70319229434,1.0957489883091662e13,573335.8404189862,,
18077.036701010482,3.5926556983321465e12,194713.0606604253,,
6251.004849204139,1.178388692153704e12,67889.29281343198,,
2174.379024603633,3.8676559021867267e11,25213.54353250684,,
2.769011781503477e7,1.2708464989657509e11,185979.9823236599,,
8.951568855302906e6,4.183748217980608e10,64047.471530528004,,
2.774126525362494e6,1.3817539779183874e10,22825.947073271516,,
892980.8395912737,4.588085167005065e9,4.1127334843030483e6,,
302307.54204529175,1.537111180362256e9,1.4017580394923217e6,,
104738.82531745035,5.226981089714594e8,479840.47973189806,,
38209.94907275334,1.8266051284711075e8,164010.61893939137,,
787199.4331572078,6.827900520307277e7,57471.72726081317,,
111028.88642453586,3.330217300587777e7,4.616370914797146e7,,
30692.266592436696,5.868780283183903e7,1.5320739632945618e7,,
10840.528680901503,1.5858430976580995e8,5.124373233838087e6,,
8.602028288160874e6,3.563500751112557e7,1.7340402093938584e6,,
2.939401232834649e6,4.004651901917846e6,608329.5687139871,,
999930.36768653,74041.17671251071,220604.79286870442,,
297797.0509775079,26.858660622086646,6.953441608487093e6,,
104164.67634605615,3.497846985519634e-6,2.3435135384954102e6,,
38180.50971404647,9.184059043949518e-8,811232.1691765484,,
647587.3102548388,9.184059043949518e-8,295297.6485609765,,
166634.46191085965,9.184059043949518e-8,5.614030871894066e6,,
61281.097173460716,9.184059043949518e-8,1.9078885037270184e6,,
717760.1559551107,9.184059043949518e-8,665681.8376401726,,
38860.210895057404,9.184059043949518e-8,247811.73056927786,,
13285.176007089165,9.184059043949518e-8,2.0821742230081002e6,,
4290.238354541527,9.184059043949518e-8,714545.0014614637,,
1539.4312433837624,9.184059043949518e-8,254852.15874697972,,
265758.3324641935,9.184059043949518e-8,4.6088774895271696e7,,
84417.04384291243,9.184059043949518e-8,1.5401361939612387e7,,
28816.976998727077,9.184059043949518e-8,5.209411056642727e6,,
10107.994218267728,9.184059043949518e-8,1.8041706054098888e6,,
3776.355492639263,9.184059043949518e-8,657383.0896119338,,
18442.46962766445,9.184059043949518e-8,1.252734825412639e7,,
6155.920270776389,9.184059043949518e-8,4.257277614984395e6,,
2145.909212424898,9.184059043949518e-8,1.490746818090908e6,,
756.9944787616507,9.184059043949518e-8,553316.9573779462,,
1.8090257970135026e6,9.184059043949518e-8,4.605946749459566e6,,
594169.7147264709,9.184059043949518e-8,1.5806608101612267e6,,
197024.1408138043,9.184059043949518e-8,563122.7821031227,,
65853.75345846855,9.184059043949518e-8,1.3126916234752913e8,,
22284.79517452712,9.184059043949518e-8,4.379255007732853e7,,
7723.624705349688,9.184059043949518e-8,1.4794085534719856e7,,
2820.6753040915273,9.184059043949518e-8,5.101779271200936e6,,
31753.33704413747,9.184059043949518e-8,1.8397387663073037e6,,
10125.826986034434,9.184059043949518e-8,7.356476892432202e7,,
3621.0714158015057,9.184059043949518e-8,2.48285157986697e7,,
464159.97462755186,9.184059043949518e-8,8.553399100172594e6,,
30443.37353968627,9.184059043949518e-8,3.0766793496986846e6,,
199943.47160090218,9.184059043949518e-8,1.6931288823623872e8,,
68881.81381657776,9.184059043949518e-8,5.700392274321474e7,,
24291.98502053246,9.184059043949518e-8,1.9553048702063404e7,,
4.1154521933870013e11,9.184059043949518e-8,6.960611291963141e6,,
1.3199001007605806e11,9.184059043949518e-8,1.837396444685248e9,,
4.322227668745146e10,9.184059043949518e-8,6.125478972759498e8,,
1.4212099416008959e10,9.184059043949518e-8,2.0663859624839047e8,,
4.674669397077756e9,9.184059043949518e-8,7.112251637830488e7,,
1.536201978328623e9,9.184059043949518e-8,2.5525131062370103e7,,
5.071118664311362e8,9.184059043949518e-8,6.615098439319477e7,,
1.6820814909042016e8,9.184059043949518e-8,9.43443997062803e33,,
5.625034334187082e7,9.184059043949518e-8,3.208538998971615e32,,
1.9131669378177833e7,9.184059043949518e-8,8.17634878922066e28,,
6.686825390913527e6,9.184059043949518e-8,3.683012065588578e23,,
2.501074408742839e6,9.184059043949518e-8,1.1160298831659137e13,,
2.440815958792103e7,9.184059043949518e-8,0.8686982396742833,,
8.390919224548224e6,9.184059043949518e-8,0.045589529073021176,,
2.507200715523732e6,9.184059043949518e-8,0.045589529073021176,,
4.7899529871266276e7,9.184059043949518e-8,0.045589529073021176,,
1.5142116383230897e7,9.184059043949518e-8,0.045589529073021176,,
5.349474356397039e6,9.184059043949518e-8,0.045589529073021176,,
4.0195736371311398e9,9.184059043949518e-8,0.045589529073021176,,
1.2655939414658082e9,9.184059043949518e-8,0.045589529073021176,,
3.85867940016171e8,9.184059043949518e-8,0.045589529073021176,,
1.324213177968588e8,9.184059043949518e-8,0.045589529073021176,,
4.754303975414939e7,9.184059043949518e-8,0.045589529073021176,,
3.610652906030239e9,9.184059043949518e-8,0.045589529073021176,,
1.059593516521316e9,9.184059043949518e-8,0.045589529073021176,,
2.5608721305448437e8,9.184059043949518e-8,0.045589529073021176,,
2.274941991969737e9,9.184059043949518e-8,0.045589529073021176,,
6.898685398228722e8,9.184059043949518e-8,0.045589529073021176,,
2.517515442281276e8,9.184059043949518e-8,0.045589529073021176,,
4.8117022678918915e9,9.184059043949518e-8,0.045589529073021176,,
9.62186934710185e8,9.184059043949518e-8,0.045589529073021176,,
7.440195859357817e8,9.184059043949518e-8,0.045589529073021176,,
5.065833682255425e7,9.184059043949518e-8,0.045589529073021176,,
2.8338630784852783e12,9.184059043949518e-8,0.045589529073021176,,
8.063513929412957e11,9.184059043949518e-8,0.045589529073021176,,
2.7356664640319403e11,9.184059043949518e-8,0.045589529073021176,,
9.319615290888953e10,9.184059043949518e-8,0.045589529073021176,,
3.0956830330763226e10,9.184059043949518e-8,0.045589529073021176,,
9.821825719952398e9,9.184059043949518e-8,0.045589529073021176,,
3.113819340883645e9,9.184059043949518e-8,0.045589529073021176,,
1.0744452064875462e9,9.184059043949518e-8,0.045589529073021176,,
3.7195882392198795e8,9.184059043949518e-8,0.045589529073021176,,
1.3228389460363026e8,9.184059043949518e-8,0.045589529073021176,,
6.502692048921989e11,9.184059043949518e-8,0.045589529073021176,,
1.7065800307533932e11,9.184059043949518e-8,0.045589529073021176,,
5.1630161480217354e10,9.184059043949518e-8,0.045589529073021176,,
2.876786578819778e9,9.184059043949518e-8,0.045589529073021176,,
9.824899468343682e8,9.184059043949518e-8,0.045589529073021176,,
4.972535697250964e12,9.184059043949518e-8,0.045589529073021176,,
1.6332973225985994e12,9.184059043949518e-8,0.045589529073021176,,
5.451126446664522e11,9.184059043949518e-8,0.045589529073021176,,
1.818791087700234e11,9.184059043949518e-8,0.045589529073021176,,
6.1094891653040276e10,9.184059043949518e-8,0.045589529073021176,,
2.125074289270263e10,9.184059043949518e-8,0.045589529073021176,,
7.863395671866529e9,9.184059043949518e-8,0.045589529073021176,,
4.231039892434349e10,9.184059043949518e-8,0.045589529073021176,,
1.4125504211018208e10,9.184059043949518e-8,0.045589529073021176,,
4.622184760598843e9,9.184059043949518e-8,0.045589529073021176,,
8.094574420852845e11,9.184059043949518e-8,0.045589529073021176,,
2.7033590489344986e11,9.184059043949518e-8,0.045589529073021176,,
