Oviedo,Queue,RD,Newton,BFGS
7158.72119250872,5316.775198483987,5426.305664140083,6020.937647808856,6020.937645008488
5772.627483921251,8743.941208381284,8823.75324439655,7158.680214204335,6020.937644960963
7946.838237908519,5927.779450853011,6441.807441042407,6819.789852197202,6020.93764495256
6957.324518424257,8280.900451017184,7820.624140878564,7127.397486355876,6020.9376449529445
6963.279818111643,6001.931572126307,6789.258719769218,7145.6764178815465,6020.9376449529445
5524.965122030248,7646.452744743201,7157.252203438192,7398.557030280879,6020.937644952446
5798.580452222299,5300.3495070024965,7445.159685421564,7405.876386609451,6020.937644952826
6013.328181565942,8890.689966766753,7296.018600914317,7440.2131282293185,6020.937644952826
7886.208654334216,5836.119530614115,7357.46532560054,7438.69592232023,6020.937644952842
6228.146837171325,8230.568848893716,7004.405744831692,7449.2938196218465,6020.937644952842
6294.905541152424,5315.993866168758,7333.948340579803,7467.153049438172,6020.937644952372
5099.851039578479,8934.969324989032,7233.064441514525,8055.219006970575,6020.937644952724
8714.508804231562,5315.197404646123,7268.113962032246,8114.539299999131,6020.937644952724
6057.307133700616,7792.3282680769735,7347.230683654455,8083.721270065596,6020.937644952897
8648.084542654846,6067.855203712209,7321.738361568628,8126.08293108835,6020.937644952903
6259.4446561934565,6869.221922881917,7449.922008387405,8144.002324408538,6020.937644952903
5615.6116128986705,8453.635458515813,7158.316310356141,8155.640448085836,6020.937644952661
8648.68409119335,5263.831541700809,7266.900392261608,8199.717310805374,6020.937644952825
6451.797237340439,8754.997624325824,7360.528837228782,8265.099672335811,6020.937644952825
5715.471110481289,6976.021424427287,7357.531816655995,8253.212177282865,6020.937644952801
6907.4062637726665,7018.325802720577,7445.592257853085,8249.174489170262,6020.937644952801
7869.177120046174,8858.233559934277,7262.958901328664,8278.49232952406,6020.93764495271
7308.6594845157415,6622.8769505025975,7401.979444892698,8293.494921550951,6020.9376449527235
5948.352685048725,6999.61770776967,7359.279680160555,8335.623861016791,6020.9376449527235
6037.878440143153,6805.793526093055,7436.371376581984,8344.78229155293,6020.93764495273
6825.174177051817,5255.311756091668,7466.690588231663,8381.204439964062,6020.93764495273
6122.359656374674,8852.99543193077,7431.576695003733,8643.30540258592,6020.937644952608
6888.378396869644,5791.9509664971565,7523.693961652638,8593.794465279749,6020.937644952613
5227.76837460314,8842.450725767289,7513.72020626253,8619.991059670496,6020.937644952613
6937.653991518484,5458.105655701858,7548.328796036201,8644.86983920391,6020.937644952786
5201.128160812996,7566.134503420148,7475.980856100826,8738.435528703036,6020.937644952544
7856.7135749351255,7067.268186280831,7466.635272710043,9046.546400735908,6020.937644952544
8592.30617567319,5422.506352952824,7456.418173732834,9037.270516878521,6020.937644952549
6554.949979381418,6776.448210217026,7462.145157723112,9068.912819444946,6020.937644952683
6070.072749803373,5925.141508742566,7534.7092293835585,9058.896348067583,6020.937644952683
8331.211120270253,5195.7474016099195,7503.548090109079,12162.311518341401,6020.937644953065
6810.760960652238,8836.667651365986,7502.505527653158,12129.021771488746,6020.937644953065
6092.832342828993,5640.937256870786,7465.828190317183,12171.560067663682,6020.937644952447
6564.506876210564,6672.378577382659,7476.9129787086185,12168.09892459433,6020.9376449526135
5834.153165862452,8603.663344637109,7488.630155958106,12161.67667630462,6020.9376449526135
5737.796013933949,8361.93257791188,7490.071857023044,12180.951841622225,6020.937644952965
6848.670941287896,6864.4600984918125,7508.906470139277,12186.666208655806,6020.937644952965
7306.476372862604,7142.262710230373,7511.370281948695,12323.25237491449,6020.937644952495
5089.752798045015,6992.618016015678,7518.362885618768,12277.46388386518,6020.937644952511
7671.723207605546,5375.094837618387,7508.124900871746,12326.484993393065,6020.937644952511
7688.753917435978,6868.820154123814,7490.78253643615,12363.071903720338,6020.937644952893
6775.528472606663,5732.594903244875,7502.832087743364,12360.345931228587,6020.937644952432
6212.702549265529,8226.893459840076,7498.511478690278,12421.829802596474,6020.937644952432
5002.514104932384,6730.413103446619,7509.337089781722,12446.211947531128,6020.937644952784
8517.988731523252,5542.97825618719,7520.764701744861,12441.091931727671,6020.937644952947
6650.290301365314,5396.896195293043,7527.27247579089,12492.190487945249,6020.937644952947
6192.696572301343,6552.467297843526,7516.215637595438,12509.370887219475,6020.93764495233
5559.931817648339,5757.555586834437,7525.68854270959,12508.69156563775,6020.93764495233
6359.442717811168,7031.949863967384,7522.068840532444,12533.153282448227,6020.937644952712
8610.047867525864,5192.0085127569955,7513.164472578566,12617.962469275226,6020.937644952847
5100.0842868574255,7826.207632390681,7508.49098526015,12655.65372510286,6020.937644952847
7091.027309201821,6409.838564077349,7510.930725765836,12626.053838536836,6020.9376449528545
6486.3700688628405,6346.003502495053,7507.3515426500735,13895.00193043931,6020.9376449528545
5600.058766295468,6403.701122947729,7507.015909368135,13882.055353762596,6020.937644952611
7381.912869850358,5788.149183356874,7509.864178793713,13924.415315016246,6020.9376449527745
6265.0112822415085,8511.822701503954,7491.349001771117,13908.62540747079,6020.9376449527745
5678.540784108389,6661.833597815336,7493.880164310652,13914.56517523015,6020.93764495275
6318.413235589299,5618.463343189729,7486.29504447682,14021.662009800726,6020.937644952668
5396.86451323821,8453.295935802173,7489.827926748078,14065.89042066193,6020.937644952668
4997.8428919073,7588.551226804936,7486.072719980928,14081.705857718174,6020.937644952672
8060.084695258612,6243.24379111135,7479.670129832153,14108.146852169899,6020.937644952687
6443.2468846290285,6078.949301165356,7472.942423374589,14067.096661679225,6020.937644952687
5642.358560239109,7252.128173890539,7465.929495489017,14120.895595742473,6020.9376449525935
6340.783868948656,8206.24832426102,7471.110460706599,29649.379630994,6020.9376449525935
6875.5202141262625,6719.365497240749,7467.781932244376,29685.38717576266,6020.93764495257
6399.917278021733,6550.700012884429,7458.336740871118,29647.367351197703,6020.937644952733
5932.25499874662,5285.0931581267605,7469.697298216445,29709.67634126552,6020.937644952733
5366.152701617438,7452.037189419866,7462.300563459798,29702.269260522873,6020.937644952493
5241.018980082082,5111.672584246518,7457.858458017587,29708.74852200738,6020.937644952493
6934.597041220209,8242.833437436704,7448.700565291862,29714.20305254413,6020.937644952501
8213.255944898277,6856.936919454867,7444.341694196707,29733.158703035675,6020.937644952634
6752.094097251408,5794.174003073983,7437.2444917993125,29752.40093105774,6020.937644952634
5027.123078569637,5375.365283618498,7423.800467178945,29753.468566235657,6020.9376449530155
7340.887688560653,6975.761229055202,7423.6747059143945,29786.098305691994,6020.937644952397
6402.765201698135,6737.94668773452,7419.533860944986,29784.177872662865,6020.937644952397
5571.03400716126,5918.332429797596,7418.33800199143,29759.758096016587,6020.937644952571
6775.336115672132,8270.140364132607,7398.645459751342,29793.96828910542,6020.937644952953
5027.712005374651,6838.541781379272,7389.681739658557,29777.247640194833,6020.937644952953
7124.479630549005,6817.534411785726,7381.778125361895,29811.940341111644,6020.9376449524525
5982.765790329117,6721.386488020109,7386.400565293729,29834.739001856542,6020.9376449524525
6308.897806247059,5765.75952057574,7394.259903927117,29838.95716195267,6020.9376449528345
6391.051267342877,6869.994423050232,7410.107264759011,29840.074739018753,6020.937644952849
7515.176967683968,6579.6209501979065,7419.716551617039,29866.075677829835,6020.937644952849
6830.004647271891,8663.535802405711,7430.920729202556,29869.905286481557,6020.937644952382
6728.542037033391,5256.1459385771095,7436.949581868868,29891.99377863815,6020.937644952382
5008.287215837284,7037.206814992109,7443.0355746445775,29865.12939776314,6020.9376449527335
7741.646639216746,5553.9958963724675,7435.236576234846,29875.18949653072,6020.937644952897
6523.2895275605615,6570.3596752917065,7437.009285520313,29880.941952714744,6020.937644952897
5906.331966233635,8676.420289065618,7414.193876742498,29895.646015733506,6020.9376449522815
7205.354607308128,5228.629997251558,7412.604161496471,30129.502193166238,6020.937644952662
4905.433221073952,7101.775114352793,7407.4179804239675,30234.05201440224,6020.937644952662
8378.368590764823,8574.801320564127,7387.150859549379,30253.069532899877,6020.9376449527945
5548.342393998186,5423.214772270479,7397.411677905606,30255.683206340047,6020.93764495281
6696.065607181674,5067.859920870263,7384.210958541942,30256.294569995913,6020.93764495281
5281.602438220827,8518.922911687367,7362.644747973952,30259.01615345042,6020.937644952717
4894.712103914818,7432.220388576702,7370.205098578146,30260.539513244807,6020.937644952717
8384.473871644912,8420.538457132217,7370.292409731955,30310.596528902835,6020.937644952733
7563.848024939968,6713.141206251439,7385.015931609611,30767.28650359853,6020.937644952738
6677.429210407598,5564.252220527004,7415.730385973206,30793.138376738767,6020.937644952738
5222.201768941661,8644.765429486582,7412.626921655744,30741.004524351134,6020.937644952614
5194.017287552178,6367.338187675105,7426.561598710656,30767.40571255812,6020.937644952614
6112.904243427034,5385.486897969861,7438.343829425781,30766.886267847116,6020.937644952623
4980.575604136561,5090.731444765807,7441.357686124795,30809.483060676917,6020.937644952637
6990.584372262418,8142.077358642128,7436.791663347935,31041.292800798103,6020.937644952637
