Oviedo,Queue,RD,Newton,BFGS
6.2278942541168265e7,2.4707968300674353e9,2.4716287873167715e9,2.947735964962414e9,1.3558924954517484e8
2.432288042856987e6,2.0055186130634272e9,1.9939820717815163e9,1.3558924954517487e8,5.179647348054067e7
73053.32259449014,1.536415590631718e9,1.495309262585713e9,2.1957580843106564e7,5.179647348054067e7
2966.463910238717,1.0671482059877404e9,4.193410561987776e9,163148.39275787806,5.179647348054067e7
70.71443619177873,6.109428897752976e8,2.750269171088267e9,39.61632619057452,5.179647348054067e7
3.299356368079179,1.6324364562376958e8,1.3512166314066188e9,2.3031674892283215e-6,5.179647348054067e7
0.07583863461980321,3.4544811555993743e6,7.439184354002304e7,6.829732906370984e-8,5.179647348054067e7
0.0020262074103357614,85146.5882843092,941231.2957734565,6.709081285316696e-8,5.179647348054067e7
7.53567557570043e-5,950.157380491467,1166.045543155045,6.708987629455571e-8,5.179647348054067e7
3.459694050561758e-6,8.345590593172034,0.0011983500298813983,6.708708459360401e-8,5.179647348054067e7
9.368215847747632e-8,0.053078352202751054,6.832854566766188e-8,6.7076508431956e-8,5.179647348054067e7
6.76017542328568e-8,0.00037331007432366215,6.707571590693423e-8,6.707375674777899e-8,5.179647348054067e7
6.705969878029633e-8,1.5066824397790156e-6,6.710359481784225e-8,6.708983328844241e-8,5.179647348054067e7
6.704544345763496e-8,7.29731450258048e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704739531645697e-8,6.729593768826808e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.704441882368406e-8,6.706586403836245e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704076577948303e-8,6.704803920128705e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054067e7
6.705164514670116e-8,6.705686055805515e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054067e7
6.704394290211553e-8,6.704397905934889e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.706005343713e-8,6.704187629096602e-8,6.709216224048064e-8,6.708855857743107e-8,5.179647348054067e7
6.705611042026444e-8,6.705907052391654e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.705109426730427e-8,6.704478438604329e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704076577948303e-8,6.705051174277871e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054067e7
6.705109426730427e-8,6.705220200227484e-8,6.709363394370673e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.705213151439428e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.705156001545781e-8,6.706498103406703e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.705158373284485e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.705164514670116e-8,6.70567274438282e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704349847839721e-8,6.704868766959729e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054067e7
6.705109426730427e-8,6.70522790074871e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.704998469200263e-8,6.708882750664478e-8,6.710463504009011e-8,5.179647348054067e7
6.70510249721333e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704129032804694e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.705164514670116e-8,6.704418502580913e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704068913459741e-8,6.706732648333258e-8,6.71168776695812e-8,6.7076508431956e-8,5.179647348054067e7
6.705109426730427e-8,6.705905947967937e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.705823361624134e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.705109426730427e-8,6.705725885065405e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.705162703515068e-8,6.704318705431316e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704068913459741e-8,6.704998469200263e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054067e7
6.705164514670116e-8,6.704318705431316e-8,6.707886761253593e-8,6.708855857743107e-8,5.179647348054067e7
6.704349847839721e-8,6.704998469200263e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.706637825237805e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.70490181803294e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.705162703515068e-8,6.70520897109827e-8,6.709363394370673e-8,6.708708459360401e-8,5.179647348054067e7
6.704068913459741e-8,6.706580444767253e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054067e7
6.705109426730427e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.70506556963084e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.705217920826489e-8,6.704120437578362e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704892108066659e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054067e7
6.706695415062899e-8,6.704318705431316e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704076577948303e-8,6.704998469200263e-8,6.710211161331221e-8,6.709131145481996e-8,5.179647348054067e7
6.705109426730427e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.704846695291358e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.705109426730427e-8,6.70438552155091e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054067e7
6.704129032804694e-8,6.70505333580968e-8,6.710359481784225e-8,6.7076508431956e-8,5.179647348054067e7
6.705157716245156e-8,6.70459268290132e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054067e7
6.704900192663992e-8,6.705891220001683e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054067e7
6.706695415062899e-8,6.70459268290132e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054067e7
6.704076577948303e-8,6.705891220001683e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054067e7
6.705109426730427e-8,6.70459268290132e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704076577948303e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.705156001545781e-8,6.704120437578362e-8,6.707886761253593e-8,6.71018851515653e-8,5.179647348054068e7
6.704131235114258e-8,6.70511228080518e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705383626254441e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.705525270295343e-8,6.704998469200263e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.704496373860562e-8,6.70437334090158e-8,6.710692731441576e-8,6.707375674777899e-8,5.179647348054068e7
6.704739531645697e-8,6.705823361624134e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.704494095826081e-8,6.705848810228509e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704076577948303e-8,6.704998469200263e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704131235114258e-8,6.70480129117114e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705383626254441e-8,6.70438552155091e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.704998469200263e-8,6.708882750664478e-8,6.709131145481996e-8,5.179647348054068e7
6.705162703515068e-8,6.704363606601986e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704076577948303e-8,6.704998469200263e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704120437578362e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704131235114258e-8,6.70505333580968e-8,6.710359481784225e-8,6.708983328844241e-8,5.179647348054068e7
6.705933447095626e-8,6.705143027513662e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704123701743603e-8,6.706523076148085e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.705436617187082e-8,6.704363606601986e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.705525270295343e-8,6.70506556963084e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.704488555115215e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704746175763934e-8,6.704998469200263e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.704441882368406e-8,6.704318705431316e-8,6.709216224048064e-8,6.708855857743107e-8,5.179647348054068e7
6.704076577948303e-8,6.70480129117114e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.705156001545781e-8,6.704318705431316e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704076577948303e-8,6.70480129117114e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.704440404426435e-8,6.709363394370673e-8,6.707375674777899e-8,5.179647348054068e7
6.704076577948303e-8,6.705823361624134e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.705043892893513e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704120437578362e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.704998469200263e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.704998469200263e-8,6.708882750664478e-8,6.710463504009011e-8,5.179647348054068e7
6.705164514670116e-8,6.70437334090158e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.705889589567627e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.705848810228509e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.704998469200263e-8,6.71168776695812e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.704440404426435e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.705067620916519e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.70526983258864e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704318705431316e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.704998469200263e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.704371126722739e-8,6.707886761253593e-8,6.708855857743107e-8,5.179647348054068e7
6.704068913459741e-8,6.704868766959729e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.70437334090158e-8,6.709363394370673e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.704990960260324e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.704998469200263e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.704896926524424e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704342630419135e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.704998469200263e-8,6.710211161331221e-8,6.709131145481996e-8,5.179647348054068e7
6.705109426730427e-8,6.704318705431316e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.704990960260324e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704216645381802e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.704998469200263e-8,6.710359481784225e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.70437334090158e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.705273309521534e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.705748913467974e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.704970240176918e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.705051174277871e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704318705431316e-8,6.707886761253593e-8,6.71018851515653e-8,5.179647348054068e7
6.704129032804694e-8,6.704998469200263e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.704310957730344e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.705051174277871e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704216645381802e-8,6.710692731441576e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.704998469200263e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704344483545985e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.705273309521534e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.705215999909748e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.705171414310356e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.705215999909748e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.705273309521534e-8,6.708882750664478e-8,6.709131145481996e-8,5.179647348054068e7
6.70510249721333e-8,6.705209703226465e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.705273309521534e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.70426908258669e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.704970240176918e-8,6.710359481784225e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.704318705431316e-8,6.709216224048064e-8,6.707375674777899e-8,5.179647348054068e7
6.704349847839721e-8,6.704990960260324e-8,6.708882750664478e-8,6.7076508431956e-8,5.179647348054068e7
6.70510249721333e-8,6.704318705431316e-8,6.707886761253593e-8,6.708708459360401e-8,5.179647348054068e7
6.704129032804694e-8,6.70505333580968e-8,6.710211161331221e-8,6.7076508431956e-8,5.179647348054068e7
6.705109426730427e-8,6.70459268290132e-8,6.707886761253593e-8,6.707375674777899e-8,5.179647348054068e7
6.704068913459741e-8,6.705891220001683e-8,6.708882750664478e-8,6.708983328844241e-8,5.179647348054068e7
6.705164514670116e-8,6.70459268290132e-8,6.709216224048064e-8,6.708855857743107e-8,5.179647348054068e7
