Oviedo,Queue,RD,Newton,BFGS
69.48595052719178,69.48595052719178,50.65295890280007,206.1802609368802,8.488611619997128e-14
41.66079827227207,41.66079827227207,22.741950516282213,3.273332131813757e-14,
21.745263869069795,21.7452638690698,13.859707674625543,,
12.852444583232163,12.852444583232163,9.706699686586159,,
7.785932841491721,7.78593284149172,6.872196637300447,,
5.454856035283458,5.454856035283459,5.063107060590758,,
3.4540988602832634,3.454098860283267,4.009932614977151,,
2.2931637182959688,2.2931637182959705,3.2997284996959073,,
1.5156249489035607,1.5156930126208012,2.8307185351049227,,
1.0669027863849578,1.067455375683512,2.403521434851076,,
0.6108792156656236,0.61538901417252,1.8816511775543743,,
0.3401401989760847,0.38983056155992174,1.5024302567127255,,
0.2161716254441108,0.2890474422463149,1.2816456595634997,,
0.11042353276900205,0.18485022048391503,1.1153498141849336,,
0.05599167889001488,0.11948019519938458,0.9336146759166537,,
0.032295653957500406,0.07746943675914139,0.7902098143687718,,
0.01602046681321308,0.04371867618648816,0.6780822092115113,,
0.007897019794137794,0.029110217565482353,0.5828070041749832,,
0.004647811926287453,0.015863681560964897,0.5114966012856033,,
0.0015701630381825525,0.010032404730084552,0.4507973442526603,,
0.0008435942047305793,0.006661811130326611,0.38877749463746164,,
0.00029279653970409154,0.004196923620960741,0.3292556803187042,,
0.0001110851821478107,0.002950957939035042,0.2719299847905386,,
5.5711323315623686e-5,0.002213744281926639,0.23231473450960025,,
3.4633910373493284e-5,0.0015947712597546558,0.20492359792840686,,
1.3119461781106178e-5,0.0011241863938924847,0.1744221444238799,,
9.575405778740225e-6,0.0006957531689847139,0.15156618688508208,,
3.9882198730089775e-6,0.00046155904182338173,0.13659962100686085,,
1.317902266350105e-6,0.00026007638138971,0.12074354894155073,,
6.14215950316559e-7,0.000161224274747316,0.10457336919463561,,
1.6710418142525314e-7,9.215117112154987e-5,0.08940747804911438,,
1.2246485762246523e-7,5.514623476518139e-5,0.07343902552509583,,
2.4451414945064092e-8,3.9911554917138923e-5,0.061055210775619824,,
1.1375074720774845e-8,2.767372590049596e-5,0.0512538858781724,,
3.170036078369452e-9,1.9429336217837984e-5,0.043065136880544225,,
,1.4777985068366029e-5,0.03675031775281579,,
,1.1314426750379397e-5,0.03214254923289215,,
,6.5563148527363235e-6,0.027418910244142978,,
,4.325806212392344e-6,0.023302101952565678,,
,2.1933378966310095e-6,0.020409842070916007,,
,1.405805481290221e-6,0.01813737964201381,,
,8.591754058885362e-7,0.01632398673726721,,
,6.130789959951901e-7,0.014566210713282427,,
,4.071947384121386e-7,0.012896107628246754,,
,2.9522128589903195e-7,0.011120469629309921,,
,2.2327437242917846e-7,0.009566025462003582,,
,1.5973400690050893e-7,0.008184525843542591,,
,1.0708136949067314e-7,0.006758799112459841,,
,6.584458614123992e-8,0.005621517854731054,,
,4.2695169844919094e-8,0.004636630536469723,,
,2.6471019258125203e-8,0.0038476957367290085,,
,1.8193165018632765e-8,0.003325745691292933,,
,1.1112063910385105e-8,0.002878757743173497,,
,7.1865168171928075e-9,0.002471254331398946,,
,,0.002190713853267375,,
,,0.0018023949155588305,,
,,0.0015148765586038594,,
,,0.0013182971654096974,,
,,0.0011466208583254698,,
,,0.0010066837817154267,,
,,0.0008782619575607918,,
,,0.0007576624980213442,,
,,0.000649351336819221,,
,,0.0005557759267564382,,
,,0.00046557239879781056,,
,,0.0003963955250521812,,
,,0.0003288245658347663,,
,,0.00028125542655697464,,
,,0.0002443511405242914,,
,,0.00018819392893610379,,
,,0.00015648365693036502,,
,,0.00013821738864054913,,
,,0.00012231426267072257,,
,,0.00010635753863325562,,
,,8.991075663829883e-5,,
,,7.455507000484776e-5,,
,,6.280415819831528e-5,,
,,5.306411267300033e-5,,
,,4.540829946935327e-5,,
,,3.864957769417759e-5,,
,,3.257066787878809e-5,,
,,2.73295281759093e-5,,
,,2.305140653909574e-5,,
,,1.9604773501866196e-5,,
,,1.705331068371081e-5,,
,,1.4791779616846156e-5,,
,,1.2756056415675582e-5,,
,,1.08753177336893e-5,,
,,9.39097925091744e-6,,
,,8.216799122852676e-6,,
,,7.205543089622211e-6,,
,,5.979398039766336e-6,,
,,5.02187540484387e-6,,
,,4.360116524744259e-6,,
,,3.768851907924289e-6,,
,,3.25824511435731e-6,,
,,2.816478733061417e-6,,
,,2.462517498735347e-6,,
,,2.1267646971983856e-6,,
,,1.7907541210431898e-6,,
,,1.5039026850207487e-6,,
,,1.2416339045601008e-6,,
,,1.0261744593761716e-6,,
,,8.800120073471025e-7,,
,,7.730706615714192e-7,,
,,6.540692078980845e-7,,
,,5.275393545930547e-7,,
,,4.429876084040555e-7,,
,,3.8613492901613663e-7,,
,,3.2198531968364823e-7,,
,,2.7214442100237677e-7,,
,,2.41392600637676e-7,,
,,2.1034507818471426e-7,,
,,1.8411818671051876e-7,,
,,1.552473906991354e-7,,
,,1.3035568804269275e-7,,
,,1.0671113216990325e-7,,
,,8.735670244677425e-8,,
,,7.475169189860599e-8,,
,,6.441190776541686e-8,,
,,5.436482239120958e-8,,
,,4.572155249454396e-8,,
,,3.9284286610632816e-8,,
,,3.384543354127399e-8,,
,,2.7550600428587032e-8,,
,,2.287090402399421e-8,,
,,1.9752668559760087e-8,,
,,1.6823211084403666e-8,,
,,1.4816286356109585e-8,,
,,1.2527965895257609e-8,,
,,1.0655929938998054e-8,,
,,9.16877351685461e-9,,
