Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
6,0.39859795570373535,1.2468524734980438e-10,15.052761596347978,true
5,0.00013589859008789062,6.798870663616705e-10,36792.14035087719,true
6,6.604194641113281e-5,1.1619214618793721e-14,90851.35018050541,true
7,6.103515625e-5,1.5100665727558131e-15,114688.0,true
7,4.506111145019531e-5,7.0010280124929e-14,155344.59259259258,true
6,3.886222839355469e-5,2.1316571191421636e-14,154391.5582822086,true
5,3.0040740966796875e-5,7.0390301413463895e-9,166440.6349206349,true
5,4.8160552978515625e-5,5.541188478490755e-9,103819.40594059406,true
6,4.00543212890625e-5,8.837961052670704e-15,149796.57142857142,true
7,4.9114227294921875e-5,9.061249659352546e-15,142524.8932038835,true
5,3.695487976074219e-5,8.837961052670704e-15,135300.12903225806,true
6,3.814697265625e-5,2.9722794776795357e-12,157286.4,true
6,4.100799560546875e-5,8.837961052670704e-15,146312.93023255814,true
9,0.00010204315185546875,1.5100665727558131e-15,88197.98130841121,true
7,4.482269287109375e-5,8.837961052670704e-15,156170.89361702127,true
6,3.910064697265625e-5,8.837961052670704e-15,153450.1463414634,true
5,3.4809112548828125e-5,6.942324113110493e-10,143640.54794520547,true
5,3.314018249511719e-5,5.336329928827139e-9,150874.24460431654,true
16,0.058927059173583984,9.371521973614614e-12,271.52211945395254,true
5,3.600120544433594e-5,1.4432899320127035e-15,138884.23841059604,true
5,4.601478576660156e-5,1.1936936462913643e-11,108660.72538860103,true
11,0.0007538795471191406,6.483409111252944e-9,14591.190385831753,true
6,5.888938903808594e-5,1.2883978093274314e-9,101885.92712550607,true
9,6.103515625e-5,6.294680623753212e-14,147456.0,true
6,4.100799560546875e-5,8.837961052670704e-15,146312.93023255814,true
7,5.316734313964844e-5,8.837961052670704e-15,131659.7668161435,true
7,5.412101745605469e-5,3.061177018306935e-15,129339.77092511013,true
5,3.1948089599609375e-5,6.409278739909383e-10,156503.8805970149,true
6,4.1961669921875e-5,8.837961052670704e-15,142987.63636363635,true
5,3.409385681152344e-5,8.340306904242695e-10,146653.98601398602,true
