Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
17.233333333333334,0.005356343587239584,9.29114601994901e-12,86385.46722779518,1.0
5.0,2.098878224690755e-5,5.88084604864683e-12,251621.625231314,1.0
4.0,1.579125722249349e-5,1.4975771478642237e-11,258988.5305604453,1.0
4.0,1.3144810994466146e-5,3.1817107555729064e-9,307969.10521564184,1.0
16.233333333333334,0.0001239140828450521,2.160351283195627e-10,172719.1679665491,1.0
5.0,1.9637743631998696e-5,1.862896054717709e-12,256541.77682900094,1.0
4.0,1.5187263488769532e-5,9.054463716179933e-10,265761.35370332946,1.0
4.0,1.3184547424316406e-5,1.3574475956792942e-10,306604.1931140848,1.0
4.0,1.4869372049967448e-5,3.716160222439797e-11,273074.82537847565,1.0
4.0,1.5417734781901043e-5,3.524480820653694e-11,261090.21060790768,1.0
4.0,1.4217694600423177e-5,2.2164391123873963e-11,285831.6521391109,1.0
4.0,1.479784647623698e-5,1.1768938098465526e-11,272824.49964840326,1.0
4.0,1.5354156494140626e-5,9.427335785239418e-12,261947.6907118037,1.0
4.0,1.388390858968099e-5,7.984741053564406e-12,291311.0447277187,1.0
4.0,1.4758110046386718e-5,8.366608353252887e-12,273600.4951957414,1.0
4.0,1.548131306966146e-5,8.04404554288584e-12,261295.12562917153,1.0
4.0,1.5052159627278646e-5,7.1788695805953476e-12,271223.26678328245,1.0
4.0,1.5473365783691408e-5,5.343270293222768e-12,261543.82178553534,1.0
4.0,1.4925003051757813e-5,4.027504345167562e-12,270712.26006176125,1.0
4.0,1.4432271321614583e-5,3.125249962918913e-11,279599.4979170186,1.0
5.0,1.7547607421875e-5,7.537335401399717e-13,288295.5745002922,1.0
5.0,1.899401346842448e-5,3.025659821650527e-14,265585.28488336847,1.0
4.0,1.4225641886393229e-5,1.0995298303931047e-13,286110.5795217378,1.0
4.0,1.4162063598632812e-5,8.182473584262564e-14,285327.75843726296,1.0
7.066666666666666,4.7548611958821615e-5,4.406462213793295e-12,178953.0536219116,1.0
4.0,1.4050801595052083e-5,3.068989980509576e-14,291672.5318271816,1.0
4.0,1.4281272888183593e-5,1.6725767063820612e-12,288268.5899884833,1.0
4.0,1.3963381449381511e-5,2.349178145920128e-12,289575.4807803773,1.0
4.0,1.5091896057128906e-5,3.493358246997532e-10,268611.3441762241,1.0
4.0,1.6005833943684897e-5,2.995322841322764e-11,253606.03342743803,1.0
