Iterations,Execution time,Last Gradient,Not divergency number,Percentage of convergence
6,0.31052398681640625,1.2468524734980438e-10,19.3221788162453,true
5,0.0004138946533203125,6.798870663616705e-10,12080.36866359447,true
6,0.00020503997802734375,1.1619214618793721e-14,29262.586046511628,true
7,0.00019598007202148438,1.5100665727558131e-15,35717.91727493917,true
7,0.00023794174194335938,7.0010280124929e-14,29418.965931863728,true
6,0.00021791458129882812,2.1316571191421636e-14,27533.72428884026,true
5,0.00021195411682128906,7.0390301413463895e-9,23590.011248593924,true
5,0.00017905235290527344,5.541188478490755e-9,27924.79360852197,true
6,0.00019288063049316406,8.837961052670704e-15,31107.32262051916,true
7,0.0002040863037109375,9.061249659352546e-15,34299.214953271025,true
5,0.00018286705017089844,8.837961052670704e-15,27342.26857887875,true
6,0.00017690658569335938,2.9722794776795357e-12,33916.20485175202,true
6,0.00016379356384277344,8.837961052670704e-15,36631.47598253275,true
6,0.00017714500427246094,9.371521973614614e-12,33870.55720053836,true
7,0.00017404556274414062,1.5100665727558131e-15,40219.35342465754,true
6,0.0001659393310546875,8.837961052670704e-15,36157.793103448275,true
5,0.00016307830810546875,6.942324113110493e-10,30660.116959064326,true
5,0.0001659393310546875,5.336329928827139e-9,30131.494252873563,true
6,0.0001628398895263672,9.379109232351436e-12,36846.00878477306,true
5,0.00016307830810546875,1.4432899320127035e-15,30660.116959064326,true
5,0.00018215179443359375,1.1936936462913643e-11,27449.633507853403,true
6,0.0001761913299560547,9.371521973614614e-12,34053.88903924222,true
7,0.00019812583923339844,3.927786460415952e-12,35331.0806257521,true
9,0.00017404556274414062,6.545496833749056e-14,51710.59726027397,true
6,0.00019311904907226562,8.837961052670704e-15,31068.91851851852,true
7,0.000164031982421875,9.371521973614614e-12,42674.604651162794,true
7,0.00017499923706054688,9.379109232351436e-12,40000.17438692098,true
5,0.00016498565673828125,6.409278739909383e-10,30305.664739884392,true
6,0.000164031982421875,8.837961052670704e-15,36578.232558139534,true
5,0.0001678466796875,8.340306904242695e-10,29789.090909090908,true
