Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
6.0,0.004798539479573568,9.37623298317383e-12,242317.7329954822,1.0
4.0,1.6021728515625e-5,9.722492688482257e-13,268573.3540726103,1.0
4.0,1.4011065165201823e-5,6.591393858944827e-12,296157.27059742424,1.0
4.0,1.1626879374186198e-5,7.759591216656701e-12,348130.5751334854,1.0
4.0,1.3295809427897135e-5,7.567305548714341e-12,314925.2388403399,1.0
4.0,1.3295809427897135e-5,6.763677410927926e-12,302624.4624022586,1.0
4.0,1.228650410970052e-5,6.815984859825712e-12,330239.2878519728,1.0
4.0,1.3216336568196614e-5,1.4326866535488632e-12,305037.42622775945,1.0
4.0,1.2977917989095051e-5,8.316637758415699e-14,310953.22061557125,1.0
4.0,1.3128916422526042e-5,1.2410819458397334e-12,331339.6984670293,1.0
4.0,1.220703125e-5,5.1915582103657564e-12,352431.2088862925,1.0
4.0,1.0752677917480469e-5,8.338405059053366e-12,374124.5155781516,1.0
4.0,1.0609626770019531e-5,7.133215202330695e-12,378520.62010312325,1.0
4.0,1.1420249938964843e-5,5.680234441064285e-12,354583.2315149859,1.0
4.0,1.3550122578938803e-5,5.4537581206398576e-12,296323.6130974103,1.0
4.0,1.381238301595052e-5,1.7328901007108528e-12,291577.1407763302,1.0
4.0,1.3033548990885416e-5,1.1384041990256655e-12,332284.77981440217,1.0
4.0,1.1412302652994792e-5,9.309926156907746e-12,353944.2982130512,1.0
4.0,1.0927518208821615e-5,9.609028651101625e-12,367371.5024942315,1.0
4.0,1.0752677917480469e-5,9.521837360309576e-12,374414.3807887655,1.0
4.0,1.049041748046875e-5,8.995727879412013e-12,385705.24329328316,1.0
4.0,1.0514259338378907e-5,9.147631542776182e-12,384316.99678740895,1.0
4.0,1.0768572489420572e-5,9.139055941097919e-12,372421.5291083212,1.0
4.0,1.0593732198079426e-5,9.251076059853779e-12,378542.84921416093,1.0
4.0,1.0689099629720053e-5,9.236743752486181e-12,375641.7084306938,1.0
4.0,1.0561943054199218e-5,9.156332588993462e-12,380808.98587541364,1.0
4.0,1.0848045349121094e-5,9.160741917697218e-12,370416.52617519896,1.0
4.0,1.087188720703125e-5,9.269313772108089e-12,369495.34680241195,1.0
4.0,1.0855992635091145e-5,9.208980103093139e-12,369845.15053933323,1.0
4.0,1.060167948404948e-5,9.34738225565502e-12,378640.9829997083,1.0
