Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
6,0.3990039825439453,1.2468524734980438e-10,15.037443891526006,true
5,0.00012493133544921875,6.798870663616705e-10,40021.98473282443,true
6,5.3882598876953125e-5,1.1619214618793721e-14,111353.20353982301,true
7,5.412101745605469e-5,1.5100665727558131e-15,129339.77092511013,true
7,3.600120544433594e-5,7.0010280124929e-14,194437.93377483444,true
6,3.3855438232421875e-5,2.1316571191421636e-14,177224.11267605633,true
5,2.4080276489257812e-5,7.0390301413463895e-9,207638.81188118813,true
5,2.3126602172851562e-5,5.541188478490755e-9,216201.23711340205,true
6,2.7894973754882812e-5,8.837961052670704e-15,215092.5128205128,true
7,3.2901763916015625e-5,9.061249659352546e-15,212754.5507246377,true
5,2.2172927856445312e-5,8.837961052670704e-15,225500.21505376344,true
6,3.1948089599609375e-5,2.9722794776795357e-12,187804.6567164179,true
6,2.6941299438476562e-5,8.837961052670704e-15,222706.40707964601,true
7,3.314018249511719e-5,4.89804932124902e-13,211223.94244604316,true
7,3.2901763916015625e-5,8.837961052670704e-15,212754.5507246377,true
6,2.3126602172851562e-5,8.837961052670704e-15,259441.48453608248,true
5,2.002716064453125e-5,6.942324113110493e-10,249660.95238095237,true
5,2.4080276489257812e-5,5.336329928827139e-9,207638.81188118813,true
7,2.5987625122070312e-5,1.8610729195778452e-14,269358.97247706424,true
5,3.504753112792969e-5,1.4432899320127035e-15,142663.40136054423,true
5,2.288818359375e-5,1.1936936462913643e-11,218453.33333333334,true
9,3.409385681152344e-5,5.9580819677934555e-15,263977.17482517485,true
7,2.5987625122070312e-5,3.927786460415952e-12,269358.97247706424,true
9,3.409385681152344e-5,6.294680623753212e-14,263977.17482517485,true
6,2.6941299438476562e-5,8.837961052670704e-15,222706.40707964601,true
9,4.1961669921875e-5,1.4432899320127035e-15,214481.45454545456,true
12,4.8160552978515625e-5,1.7643418433146135e-9,249166.57425742573,true
5,1.811981201171875e-5,6.409278739909383e-10,275941.05263157893,true
6,2.5987625122070312e-5,8.837961052670704e-15,230879.11926605506,true
5,2.3126602172851562e-5,8.340306904242695e-10,216201.23711340205,true
