Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
9.0,0.004776899019877116,1.4895204919483645e-15,337790.7418138905,1.0
6.0,1.7380714416503908e-5,2.4475733921190883e-13,374939.41082681116,1.0
5.0,1.2302398681640625e-5,9.370960642476868e-12,416550.57457298436,1.0
5.0,1.1126200358072916e-5,3.4697991833486882e-12,452145.44270254526,1.0
5.0,1.190503438313802e-5,8.930669504874804e-15,426123.5393928957,1.0
4.0,9.767214457194011e-6,9.4841523172461e-11,414848.5255598454,1.0
4.0,9.489059448242187e-6,1.1653154849373141e-11,427900.7920440828,1.0
4.0,1.0244051615397136e-5,1.0039708261771208e-11,393076.31829503935,1.0
4.0,1.0156631469726563e-5,9.971624370849777e-12,397158.1982361637,1.0
4.0,9.95794932047526e-6,1.0197955275976182e-11,405568.09407405055,1.0
4.0,9.838740030924479e-6,1.0020338361908778e-11,410804.29284555,1.0
4.0,1.0387102762858074e-5,9.706278333659864e-12,387876.1962642674,1.0
4.0,9.719530741373698e-6,9.617181126341222e-12,415455.4805468714,1.0
4.0,9.862581888834636e-6,9.544836953863403e-12,411089.9103603732,1.0
4.0,9.560585021972657e-6,9.662467412771478e-12,434273.2813738577,1.0
4.0,9.799003601074219e-6,9.654186770348721e-12,410721.2562560772,1.0
4.0,1.0156631469726563e-5,9.674462795779023e-12,397881.29020863154,1.0
4.0,9.989738464355468e-6,9.740084551825851e-12,405600.54258612136,1.0
4.0,1.006921132405599e-5,9.642762900446754e-12,400215.313555166,1.0
4.0,9.99768575032552e-6,9.693280104772633e-12,403159.4782780618,1.0
4.0,9.361902872721354e-6,9.99862113224761e-12,433250.4145917207,1.0
4.0,9.338061014811197e-6,9.892453160042254e-12,436533.80791203625,1.0
4.0,9.791056315104167e-6,9.706012065090653e-12,410275.47176089825,1.0
4.0,9.735425313313803e-6,9.584420939237957e-12,414412.2236074681,1.0
4.0,9.600321451822916e-6,9.8476447316519e-12,421655.23579028074,1.0
4.0,1.0267893473307292e-5,1.0028788492500553e-11,392839.05568881234,1.0
4.0,1.006921132405599e-5,9.792474388705231e-12,400446.0296192036,1.0
4.0,9.989738464355468e-6,9.640129002643539e-12,406014.37114230194,1.0
4.0,1.0768572489420572e-5,9.631254434693091e-12,416185.8809159298,1.0
4.0,1.0251998901367188e-5,1.1207305368074822e-11,392034.89585358993,1.0
