Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
12,0.38778090476989746,0.0,30.945309200102553,true
11,0.000164031982421875,0.0,67060.09302325582,true
14,9.608268737792969e-5,0.0,145707.8312655087,true
12,8.606910705566406e-5,0.0,139422.84764542937,true
9,4.887580871582031e-5,0.0,184140.1756097561,true
11,6.389617919921875e-5,0.0,172154.26865671642,true
9,6.794929504394531e-5,0.0,132451.7052631579,true
10,5.888938903808594e-5,0.0,169809.87854251012,true
15,7.82012939453125e-5,0.0,191812.68292682926,true
9,4.601478576660156e-5,0.0,195589.30569948186,true
11,4.982948303222656e-5,0.0,220752.84210526315,true
22,0.00010585784912109375,0.0,207825.87387387388,true
11,5.984306335449219e-5,0.0,183814.11952191236,true
11,5.817413330078125e-5,0.0,189087.47540983607,true
11,5.5789947509765625e-5,2.275934907634418e-9,197168.13675213675,true
11,6.508827209472656e-5,8.881784197009723e-10,169001.26007326008,true
9,5.1975250244140625e-5,1.4658714598420237e-9,173159.3394495413,true
10,5.793571472167969e-5,1.7763568394019445e-9,172605.10288065844,true
11,6.29425048828125e-5,0.0,174762.66666666666,true
17,8.511543273925781e-5,9.313225746154785e-10,199728.7619047619,true
11,6.413459777832031e-5,0.0,171514.28996282528,true
13,6.985664367675781e-5,0.0,186095.39931740615,true
14,7.009506225585938e-5,0.0,199728.7619047619,true
12,6.699562072753906e-5,0.0,179116.1850533808,true
12,6.699562072753906e-5,0.0,179116.1850533808,true
15,7.82012939453125e-5,0.0,191812.68292682926,true
11,5.888938903808594e-5,0.0,186790.86639676112,true
10,5.602836608886719e-5,0.0,178481.02127659574,true
13,6.890296936035156e-5,0.0,188671.11418685122,true
11,6.103515625e-5,0.0,180224.0,true
