Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
28.0,0.005216153462727865,8.178522988154266e-12,259469.60949195348,1.0
67.03333333333333,0.0002376397450764974,2.817272246118886e-14,282900.6454087738,1.0
58.0,0.00019241174062093098,1.9405109638685803e-9,301775.31376507983,1.0
40.0,0.00014092127482096355,6.695253382235463e-9,284622.6843458105,1.0
32.0,0.00011142889658610026,8.647484072741407e-12,287881.99107323965,1.0
84.0,0.0002751270929972331,6.105875316717665e-14,305907.9469499525,1.0
131.0,0.0004234155019124349,3.064754663562644e-10,310063.8250671193,1.0
121.03333333333333,0.006326929728190104,4.629808680339259e-9,287885.23672254605,1.0
128.0,0.00040943622589111327,1.2417992282855333e-11,313246.39900410804,1.0
131.0,0.0004155158996582031,3.5095366402159054e-13,315730.7618743543,1.0
70.0,0.0002318143844604492,3.090705815603669e-15,302740.0205926522,1.0
35.0,0.00011951923370361328,1.8845920770136546e-14,293578.2974608209,1.0
83.06666666666666,0.00026740233103434243,3.575122096850099e-10,311317.8689005637,1.0
103.03333333333333,0.00033394495646158856,3.4913837502344214e-10,309326.1585225419,1.0
103.0,0.0003300348917643229,1.1770895843166038e-12,312716.84867584216,1.0
101.0,0.0003320614496866862,9.599420106373649e-11,305447.614032097,1.0
151.0,0.0005303700764973958,1.8207483671580772e-9,285503.77385388856,1.0
126.03333333333333,0.0004397312800089518,1.8948925387836873e-10,287445.0452425346,1.0
117.1,0.0004002730051676432,4.719793877107863e-9,293028.94528160535,1.0
161.0,0.0009230454762776693,9.565857360022415e-15,302476.6040922135,1.0
132.06666666666666,0.0004206657409667969,2.9283152847004763e-11,314371.7233933146,1.0
84.03333333333333,0.000271908442179362,4.338769135052476e-14,309559.99561214895,1.0
147.0,0.0004684607187906901,6.942139389736521e-12,314268.7168970106,1.0
160.06666666666666,0.0005119562149047852,5.421044213591223e-13,313282.47859651485,1.0
180.03333333333333,0.0005783001581827799,5.024402907797751e-11,311761.7036279979,1.0
162.03333333333333,0.0007728338241577148,7.944971945209532e-12,286172.1824221112,1.0
0.0,Inf,Inf,Inf,0.0
171.0,0.0005810181299845378,8.85841458609927e-9,294351.20076231926,1.0
155.0,0.0005270719528198242,2.6522197575280977e-12,294622.6164822712,1.0
76.0,0.00025641918182373047,1.438469801761967e-9,297222.355084513,1.0
