Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
28.0,0.005834070841471354,8.178522988154266e-12,299572.7687304149,1.0
67.0,0.00021105607350667318,2.8180685840600127e-14,319872.70613609825,1.0
75.0,0.0002172231674194336,6.102807679021471e-15,345796.4575770302,1.0
83.0,0.000240476926167806,8.530145811703213e-11,345820.6171207918,1.0
91.0,0.0002646923065185547,1.8287211583232492e-11,344393.1747821659,1.0
109.0,0.0003092765808105469,8.78575013776826e-9,352899.23494405363,1.0
148.0,0.006324418385823568,6.501609206460809e-13,347099.30357811064,1.0
136.0,0.00038195451100667317,7.14145073585026e-11,356653.18299037864,1.0
0.0,Inf,Inf,Inf,0.0
208.0,0.0005835056304931641,9.276241004429585e-12,357200.4511366975,1.0
203.0,0.0005721330642700195,2.2843556814700215e-9,355634.4452074951,1.0
189.0,0.000564734141031901,1.304096967367346e-15,335837.2562625019,1.0
165.0,0.0005049308141072592,1.3159142803722577e-10,327266.67120053613,1.0
173.0,0.0009347756703694661,4.444933142389813e-13,323587.8901324578,1.0
213.0,0.0005916515986124674,3.651618872628097e-11,360563.35603032913,1.0
209.0,0.0005959431330362956,1.0830772827433404e-12,351292.03299580334,1.0
227.0,0.000627446174621582,3.154114774154785e-10,362232.626155269,1.0
182.0,0.000530854860941569,1.503496715731372e-11,344064.5157716392,1.0
163.0,0.0008331696192423502,6.572584763910508e-15,332791.3046543107,1.0
175.0,0.0004917144775390625,1.2880949003365234e-13,356449.943139551,1.0
118.0,0.00033434232076009113,2.0137669283899453e-14,353606.2711957668,1.0
133.0,0.0003734906514485677,1.4122420885532079e-15,356716.2605363237,1.0
158.0,0.0004452387491861979,4.321847309902859e-9,355783.6286497811,1.0
182.0,0.0005258321762084961,5.643032045222501e-11,347032.2521303185,1.0
194.0,0.0007290999094645182,5.288254170222514e-15,348253.7527406307,1.0
173.0,0.00047850608825683594,1.3936431945198733e-11,361959.3647985303,1.0
220.0,0.0006113370259602864,3.2584544402075745e-15,360544.2545245986,1.0
224.0,0.0007782856623331706,8.605270733374765e-12,345277.95892074227,1.0
200.0,0.0005572398503621419,5.373291735788507e-10,359565.5598908477,1.0
160.0,0.00044484933217366535,2.0976972375567394e-10,360307.95435403206,1.0
