Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
28,0.39431309700012207,2.1315765050993703e-11,71.00956121675901,true
27,0.00020885467529296875,3.7310575533411555e-10,129276.49315068492,true
51,0.0002040863037109375,3.971673753378205e-11,249894.28037383177,true
28,0.00013303756713867188,6.908783685001161e-11,210466.86738351255,true
1000,8.487701416015625e-5,Inf,1.1781752808988765e7,false
1000,0.00013399124145507812,Inf,7.4631743772241995e6,false
1000,9.107589721679688e-5,Inf,1.097985340314136e7,false
1000,9.989738464355469e-5,Inf,1.0010272076372314e7,false
1000,8.392333984375e-5,Inf,1.1915636363636363e7,false
1000,7.295608520507812e-5,Inf,1.3706875816993464e7,false
1000,7.700920104980469e-5,Inf,1.2985461300309598e7,false
1000,7.700920104980469e-5,Inf,1.2985461300309598e7,false
1000,7.510185241699219e-5,Inf,1.3315250793650793e7,false
1000,6.818771362304688e-5,Inf,1.4665398601398602e7,false
1000,6.699562072753906e-5,Inf,1.4926348754448399e7,false
1000,7.009506225585938e-5,Inf,1.426634013605442e7,false
1000,6.985664367675781e-5,Inf,1.431503071672355e7,false
1000,6.508827209472656e-5,Inf,1.5363750915750915e7,false
1000,7.510185241699219e-5,Inf,1.3315250793650793e7,false
1000,6.985664367675781e-5,Inf,1.431503071672355e7,false
1000,7.104873657226562e-5,Inf,1.4074845637583893e7,false
1000,7.510185241699219e-5,Inf,1.3315250793650793e7,false
1000,7.295608520507812e-5,Inf,1.3706875816993464e7,false
1000,7.295608520507812e-5,Inf,1.3706875816993464e7,false
1000,6.699562072753906e-5,Inf,1.4926348754448399e7,false
1000,7.104873657226562e-5,Inf,1.4074845637583893e7,false
1000,7.009506225585938e-5,Inf,1.426634013605442e7,false
1000,7.295608520507812e-5,Inf,1.3706875816993464e7,false
1000,7.510185241699219e-5,Inf,1.3315250793650793e7,false
1000,6.794929504394531e-5,Inf,1.4716856140350876e7,false
