Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
5,0.3952360153198242,4.9996786354642425e-11,12.650668983073341,true
9,0.0005211830139160156,1.0036411192764354e-13,17268.406221408964,true
10,0.00035309791564941406,1.0258455670634501e-13,28320.756245779878,true
6,0.00032019615173339844,7.993604692040269e-15,18738.513775130305,true
8,0.0002799034118652344,2.1493902340751229e-13,28581.28790459966,true
10,0.0002770423889160156,1.907616527640519e-11,36095.559380378654,true
10,0.0002880096435546875,4.679240163218305e-24,34721.05960264901,true
9,0.00032901763916015625,2.1676991623215537e-10,27354.15652173913,true
11,0.00028204917907714844,3.184929895857535e-10,39000.29078613694,true
12,0.0002980232238769531,8.881783601431235e-16,40265.3184,true
12,0.00028586387634277344,1.2413740035014285e-9,41978.02168473728,true
13,0.00031113624572753906,3.983911929405314e-12,41782.33869731801,true
15,0.0002899169921875,1.2523308830337792e-13,51738.94736842105,true
13,0.0002911090850830078,9.214837395174991e-13,44656.79934479934,true
15,0.0002911090850830078,1.816117229549092e-10,51527.076167076164,true
15,0.0002899169921875,2.220445897049088e-15,51738.94736842105,true
15,0.00028777122497558594,4.4408920654134026e-16,52124.73902236951,true
12,0.00028014183044433594,1.6709178110085764e-10,42835.44510638298,true
15,0.0002880096435546875,9.761941282958891e-9,52081.58940397351,true
19,0.000308990478515625,5.453409254331008e-13,61490.567901234564,true
23,0.0003190040588378906,6.475239097868081e-12,72099.39611360239,true
21,0.0003108978271484375,4.086051971216198e-12,67546.30674846626,true
24,0.00032210350036621094,8.881782741163534e-15,74510.2116950407,true
23,0.00032901763916015625,2.478899904214123e-12,69905.06666666667,true
26,0.00033211708068847656,8.881788101294605e-16,78285.64536970567,true
25,0.00032901763916015625,1.108809040060989e-9,75983.76811594203,true
25,0.00032806396484375,1.4037720489654913e-23,76204.6511627907,true
24,0.00032520294189453125,2.5930304097476807e-12,73800.07038123168,true
23,0.00032401084899902344,7.988120576659513e-10,70985.2774098602,true
20,0.0003077983856201172,1.5169550958344923e-11,64977.59876065066,true
