Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
49,0.000102996826171875,5.113277008633886e-9,475742.81481481483,true
53,8.58306884765625e-5,8.822312473095944e-9,617494.7555555556,true
56,8.20159912109375e-5,5.9847402501014225e-9,682793.6744186047,true
49,6.604194641113281e-5,7.1676324416419855e-9,741952.6931407942,true
52,6.508827209472656e-5,6.68006135091869e-9,798915.0476190476,true
50,7.009506225585938e-5,9.730535697458276e-9,713317.0068027211,true
49,6.29425048828125e-5,9.556060695027769e-9,778488.2424242424,true
52,7.295608520507812e-5,8.621682101150314e-9,712757.5424836602,true
61,8.702278137207031e-5,8.2385518913169e-9,700965.8739726028,true
55,8.606910705566406e-5,5.3841286455157746e-9,639021.3850415512,true
60,8.487701416015625e-5,6.386440880266426e-9,706905.1685393258,true
61,8.0108642578125e-5,5.226180366277249e-9,761465.9047619047,true
59,7.987022399902344e-5,5.367390906706108e-9,738698.3164179104,true
57,7.677078247070312e-5,9.037259426541918e-9,742469.9627329193,true
68,9.703636169433594e-5,5.958854134409606e-9,700768.2358722358,true
61,8.20159912109375e-5,6.603857051941235e-9,743757.3953488372,true
60,8.606910705566406e-5,7.319792591293853e-9,697114.2382271468,true
60,7.987022399902344e-5,9.448978109491223e-9,751218.6268656716,true
68,9.083747863769531e-5,6.503923267379252e-9,748589.6902887139,true
109,0.0001800060272216797,6.21642632812211e-9,605535.2794701987,true
274,0.0005910396575927734,8.65726822803572e-9,463589.8733360226,true
121,0.00023889541625976562,5.2334426010289805e-9,506497.7884231537,true
189,0.0004119873046875,8.587563022697677e-9,458752.0,true
225,0.0005049705505371094,8.201284618109735e-9,445570.53824362607,true
68,0.0001049041748046875,9.531907453924843e-9,648210.6181818182,true
253,0.0005898475646972656,9.268370418250698e-9,428924.3783346807,true
172,0.00038504600524902344,9.248650443940837e-9,446699.86873065017,true
221,0.0004918575286865234,5.74109737660845e-9,449317.1032476975,true
121,0.00023984909057617188,6.8816904878108e-9,504483.88071570575,true
123,0.00023794174194335938,5.651055112220244e-9,516933.25851703406,true
