Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
5,0.39535999298095703,4.9996784628408413e-11,12.646701964709997,true
10,0.00011992454528808594,3.443901881628844e-12,83385.76540755467,true
10,7.104873657226562e-5,1.0302864512210206e-13,140748.45637583893,true
6,3.1948089599609375e-5,7.993615888763361e-15,187804.6567164179,true
8,3.600120544433594e-5,2.1493902361927037e-13,222214.78145695364,true
10,4.696846008300781e-5,1.9076165278099246e-11,212908.83248730964,true
10,4.9114227294921875e-5,4.440892197762302e-16,203606.99029126213,true
9,4.410743713378906e-5,2.167699162287673e-10,204047.22162162163,true
11,4.7206878662109375e-5,3.18492989636574e-10,233016.88888888888,true
12,7.295608520507812e-5,1.3322675501408522e-15,164482.50980392157,true
12,5.3882598876953125e-5,1.2413740034336698e-9,222706.40707964601,true
13,7.009506225585938e-5,3.984356022850316e-12,185462.42176870749,true
15,6.794929504394531e-5,1.2567717687795362e-13,220752.84210526315,true
13,4.9114227294921875e-5,9.21483729353119e-13,264689.0873786408,true
15,6.198883056640625e-5,1.8161172298201366e-10,241979.07692307694,true
15,6.079673767089844e-5,2.2204458705793106e-15,246723.76470588235,true
15,6.103515625e-5,9.826404342758439e-23,245760.0,true
12,4.8160552978515625e-5,1.6709178109238752e-10,249166.57425742573,true
15,5.507469177246094e-5,9.761941283026642e-9,272357.4025974026,true
19,6.890296936035156e-5,5.457850117842178e-13,275750.0899653979,true
23,9.107589721679688e-5,6.478347704972921e-12,252536.6282722513,true
22,9.298324584960938e-5,1.3322675832280751e-15,236601.7641025641,true
24,9.489059448242188e-5,9.325872202476465e-15,252922.85427135677,true
23,8.702278137207031e-5,2.4788999092963083e-12,264298.6082191781,true
26,0.00010704994201660156,8.881783402907904e-16,242877.29175946547,true
25,9.799003601074219e-5,1.1094595774201037e-9,255127.9805352798,true
25,9.703636169433594e-5,2.7607516962988e-22,257635.38083538084,true
24,9.489059448242188e-5,2.5925863179967386e-12,252922.85427135677,true
23,9.107589721679688e-5,8.001868626436063e-10,252536.6282722513,true
20,8.106231689453125e-5,1.5169550971897366e-11,246723.76470588235,true
