Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
49,9.489059448242188e-5,5.113277008633886e-9,516384.1608040201,true
53,8.106231689453125e-5,8.822312473095944e-9,653817.9764705882,true
56,7.605552673339844e-5,5.9847402501014225e-9,736304.1504702194,true
49,6.29425048828125e-5,7.1676324416419855e-9,778488.2424242424,true
52,7.796287536621094e-5,6.68006135091869e-9,666984.122324159,true
50,7.200241088867188e-5,9.730535697458276e-9,694421.1920529802,true
49,7.200241088867188e-5,9.556060695027769e-9,680532.7682119205,true
52,6.699562072753906e-5,8.621682101150314e-9,776170.1352313167,true
61,8.702278137207031e-5,8.2385518913169e-9,700965.8739726028,true
55,7.987022399902344e-5,5.3841286455157746e-9,688617.0746268657,true
60,7.796287536621094e-5,6.386440880266426e-9,769597.0642201835,true
61,8.082389831542969e-5,5.226180366277249e-9,754727.2684365782,true
59,7.200241088867188e-5,5.367390906706108e-9,819417.0066225166,true
57,7.700920104980469e-5,9.037259426541918e-9,740171.2941176471,true
68,8.893013000488281e-5,5.958854134409606e-9,764645.2332439679,true
61,8.20159912109375e-5,6.603857051941235e-9,743757.3953488372,true
60,9.012222290039062e-5,7.319792591293853e-9,665762.5396825396,true
60,7.796287536621094e-5,9.448978109491223e-9,769597.0642201835,true
68,9.393692016601562e-5,6.503923267379252e-9,723890.0304568527,true
109,0.00017786026000976562,6.21642632812211e-9,612840.6648793565,true
274,0.0005879402160644531,8.65726822803572e-9,466033.77777777775,true
121,0.00023102760314941406,5.2334426010289805e-9,523746.9391124871,true
189,0.0004069805145263672,8.587563022697677e-9,464395.69771529,true
225,0.0004949569702148438,8.201284618109735e-9,454584.9710982659,true
68,0.00010800361633300781,9.531907453924843e-9,629608.5474613686,true
253,0.000598907470703125,9.268370418250698e-9,422435.872611465,true
172,0.00037598609924316406,9.248650443940837e-9,457463.72098922,true
221,0.0004930496215820312,5.74109737660845e-9,448230.74661508703,true
121,0.00025200843811035156,6.8816904878108e-9,480142.65279091767,true
123,0.00021886825561523438,5.651055112220244e-9,561981.908496732,true
