Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
9,0.38469409942626953,4.0047710372963514e-11,23.39521197081667,true
14,0.0005629062652587891,1.475420189509305e-12,24870.925878864888,true
79,0.0006239414215087891,2.968030976019933e-9,126614.45013374093,true
8,0.00027108192443847656,5.319758120567526e-12,29511.373790677222,true
10,0.0002579689025878906,2.0488290692085692e-13,38764.36229205176,true
8,0.0002510547637939453,4.7720794703233075e-9,31865.55745489079,true
10,0.000247955322265625,2.9023966716235517e-12,40329.846153846156,true
9,0.00024890899658203125,1.724986013448698e-9,36157.793103448275,true
12,0.00025391578674316406,1.9874425823910786e-15,47259.76338028169,true
12,0.0002598762512207031,2.981163873586621e-14,46175.82385321101,true
12,0.0002639293670654297,1.619732087201749e-10,45466.71002710027,true
12,0.0002608299255371094,7.070453536533357e-9,46006.99085923217,true
13,0.0002589225769042969,4.346613842325684e-11,50208.05893186004,true
12,0.00028395652770996094,5.858746486049573e-9,42259.98992443325,true
13,0.0003070831298828125,5.814914893930293e-10,42333.81366459627,true
13,0.0002808570861816406,1.2267619932855589e-11,46286.88624787776,true
13,0.0002620220184326172,5.064428203705811e-12,49614.15104640582,true
12,0.00026297569274902344,2.4411595170085086e-13,45631.59383499547,true
13,0.0002601146697998047,2.9195702098487657e-9,49977.95783684693,true
14,0.00026297569274902344,3.892021325086323e-9,53236.85947416138,true
15,0.0002658367156982422,3.271813559940032e-9,56425.61434977579,true
15,0.00026607513427734375,6.396628942663841e-13,56375.05376344086,true
16,0.00026702880859375,0.0,59918.62857142857,true
15,0.0002758502960205078,2.710906343126698e-9,54377.32065687122,true
16,0.00026106834411621094,4.379981142367241e-13,61286.633789954336,true
16,0.00026917457580566406,1.4858976551362901e-13,59440.97785651019,true
16,0.0002701282501220703,1.1499444991060229e-15,59231.12444836717,true
16,0.00028204917907714844,0.0,56727.695688926455,true
15,0.0002701282501220703,8.497577564573021e-9,55529.17917034422,true
15,0.00030612945556640625,1.1499444991060229e-15,48998.878504672895,true
