Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
9,0.43628716468811035,4.0047710372963514e-11,20.628615115078738,true
14,0.00015783309936523438,1.475420189509305e-12,88701.29305135952,true
1000,0.00011992454528808594,Inf,8.3385765407554675e6,false
8,0.00011610984802246094,5.3239527822442795e-12,68900.27104722793,true
10,6.890296936035156e-5,2.0488290692085692e-13,145131.62629757787,true
8,7.104873657226562e-5,4.772080622808949e-9,112598.76510067114,true
10,5.698204040527344e-5,2.9023966716235517e-12,175493.8912133891,true
9,5.817413330078125e-5,1.724986013448698e-9,154707.9344262295,true
12,7.414817810058594e-5,0.0,161838.09646302252,true
12,6.198883056640625e-5,3.087702524684054e-14,193583.26153846155,true
12,7.009506225585938e-5,1.619766168626348e-10,171196.08163265305,true
12,6.508827209472656e-5,7.070462043067273e-9,184365.010989011,true
13,7.700920104980469e-5,4.346829394051675e-11,168810.99690402477,true
12,8.416175842285156e-5,5.858746486049573e-9,142582.57223796035,true
13,7.009506225585938e-5,5.814913251339979e-10,185462.42176870749,true
13,7.104873657226562e-5,1.22665411395617e-11,182972.9932885906,true
13,7.200241088867188e-5,5.064428203705811e-12,180549.50993377483,true
12,6.103515625e-5,2.4411595170085086e-13,196608.0,true
13,7.200241088867188e-5,2.9195702098487657e-9,180549.50993377483,true
14,7.891654968261719e-5,3.892021325086323e-9,177402.58610271904,true
15,8.296966552734375e-5,3.271813559940032e-9,180788.9655172414,true
15,7.891654968261719e-5,6.497725862367595e-13,190074.19939577038,true
16,8.296966552734375e-5,0.0,192841.5632183908,true
15,8.893013000488281e-5,2.710906343126698e-9,168671.74262734584,true
16,8.296966552734375e-5,4.39079945699394e-13,192841.5632183908,true
16,9.608268737792969e-5,1.4858976551362901e-13,166523.23573200993,true
16,8.893013000488281e-5,1.9874425823910786e-15,179916.5254691689,true
16,8.416175842285156e-5,0.0,190110.09631728046,true
15,7.82012939453125e-5,8.497577564573021e-9,191812.68292682926,true
15,8.0108642578125e-5,1.9874425823910786e-15,187245.7142857143,true
