Iterations,Execution time,Last Gradient,Not divergency number,Percentage of convergence
12.0,0.004572312037150065,4.055646422706106e-10,258354.25937172995,1.0
13.0,4.903475443522135e-5,2.3290351649397638e-14,270413.9412962289,1.0
14.0,4.9885114034016924e-5,8.082031585117755e-11,280962.4551404921,1.0
13.0,4.711151123046875e-5,7.134578279203802e-9,277102.4627815955,1.0
14.0,4.9885114034016924e-5,6.699061157050776e-16,281592.72866371943,1.0
14.0,5.0632158915201825e-5,9.93721291195539e-16,278239.63722480077,1.0
12.0,4.442532857259115e-5,1.0381197780394898e-12,271034.3560828144,1.0
13.0,4.6984354654947916e-5,3.78921333864349e-11,278135.69034674845,1.0
12.0,4.4186909993489586e-5,4.509432315188945e-12,273459.5342847731,1.0
14.0,5.019505818684896e-5,1.3516146835921294e-14,280091.5382551735,1.0
14.0,4.9161911010742185e-5,1.363198331644558e-14,285902.6369198794,1.0
13.0,4.628499348958333e-5,2.32060605557452e-12,281116.9703647063,1.0
62.07142857142857,0.00019654205867222378,2.2759908415709086e-10,303801.2908128863,1.0
12.0,4.442532857259115e-5,1.473123713552464e-12,271672.5446021339,1.0
11.0,4.0872891743977865e-5,8.505983852321655e-14,269962.3586623866,1.0
8.0,2.9826164245605467e-5,3.9718646410559196e-10,271842.7703796959,1.0
411.0,0.0012319087982177734,4.611969748277996e-9,333628.59376814397,1.0
57.111111111111114,0.00018204583062065972,4.190164410235817e-10,312087.20579106157,1.0
15.0,5.245208740234375e-5,5.726236372744753e-14,287631.2090912943,1.0
9.0,3.2949447631835935e-5,1.8190419550344675e-9,275126.9558302027,1.0
12.0,4.2271614074707034e-5,1.854946410231673e-15,285812.28076226736,1.0
13.0,4.57604726155599e-5,6.221773100780317e-12,284597.0327421861,1.0
14.0,4.8232078552246096e-5,1.2587136355143494e-15,290548.3608521534,1.0
13.0,4.522005716959635e-5,4.898688471093378e-15,288184.46592120803,1.0
15.0,5.1355361938476564e-5,8.612251190361338e-16,293191.30366196285,1.0
14.0,4.820028940836588e-5,2.7859706726859924e-10,292798.3729376321,1.0
15.0,5.123615264892578e-5,1.0452829628323857e-10,292927.4141865486,1.0
16.0,5.45501708984375e-5,4.0386778376168775e-14,293624.7219374182,1.0
16.0,5.440711975097656e-5,5.184997751446587e-10,296116.3327703416,1.0
17.0,5.7578086853027344e-5,1.1803181100288235e-14,296924.78771644953,1.0
