Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
59,0.00014400482177734375,9.254855576815796e-9,409708.5033112583,true
142,0.0003058910369873047,7.709404557033334e-9,464217.5900233827,true
131,0.00026297569274902344,7.4107068066897506e-9,498144.8993653672,true
63,0.00011420249938964844,9.01423361329456e-9,551651.6743215031,true
1000,0.0058400630950927734,1.530574691899338e-8,171231.02674015105,false
126,0.0002589225769042969,8.40086412508214e-9,486631.95580110495,true
92,0.00015401840209960938,6.105872072251007e-9,597331.2198142415,true
130,0.00026416778564453125,9.612790639874361e-9,492111.48014440434,true
1000,0.006521940231323242,3.8936795357147026e-8,153328.60537378906,false
123,0.0002429485321044922,9.221414137894087e-9,506280.07065750734,true
49,9.703636169433594e-5,6.191259444539758e-9,504965.3464373464,true
128,0.0002498626708984375,8.56748105532394e-9,512281.40458015265,true
1000,0.006602048873901367,4.500771146743732e-8,151468.130439493,false
127,0.0002560615539550781,8.347907376599936e-9,495974.4953445065,true
159,0.000308990478515625,8.498182503691905e-9,514578.962962963,true
63,0.00010514259338378906,5.742575663395426e-9,599186.2857142857,true
1000,0.006206035614013672,4.5658020252103075e-8,161133.46139070304,false
1000,0.0055768489837646484,5.0134512097426876e-8,179312.72711726732,false
132,0.0002701282501220703,8.93697890667141e-9,488656.77669902914,true
93,0.00019097328186035156,7.263189873445195e-9,486979.11610486894,true
49,8.511543273925781e-5,6.7880617022926245e-9,575688.7843137255,true
1000,0.0064890384674072266,1.8677971697305412e-8,154106.0366682588,false
1000,0.0061228275299072266,1.8179488195992972e-8,163323.2350765157,false
64,0.0001239776611328125,6.158131552032066e-9,516222.0307692308,true
129,0.0002579689025878906,7.743738384893444e-9,500060.27356746764,true
203,0.00034999847412109375,9.639444977373627e-9,580002.5286103542,true
72,0.000141143798828125,7.176930353481361e-9,510118.0540540541,true
76,0.0001289844512939453,5.946157479260716e-9,589218.3068391867,true
71,0.00012493133544921875,5.003563712227559e-9,568312.1832061069,true
58,0.000102996826171875,7.265347425940063e-9,563124.1481481482,true
