Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
9,0.36279892921447754,4.0047710372963514e-11,24.8071294462929,true
6,0.00043892860412597656,1.5037764227466596e-9,13669.649103747963,true
6,0.0002739429473876953,7.476600565751091e-10,21902.370757180157,true
8,0.00024318695068359375,5.319758120567526e-12,32896.50196078431,true
10,0.00024890899658203125,2.0488290692085692e-13,40175.32567049808,true
8,0.0002410411834716797,4.7720794703233075e-9,33189.34915924827,true
10,0.0002448558807373047,2.9023966716235517e-12,40840.35053554041,true
9,0.00023794174194335938,1.724986013448698e-9,37824.38476953908,true
12,0.00026297569274902344,1.9874425823910786e-15,45631.59383499547,true
12,0.00026607513427734375,2.981163873586621e-14,45100.04301075269,true
12,0.000244140625,1.619732087201749e-10,49152.0,true
12,0.0002448558807373047,7.070453536533357e-9,49008.42064264849,true
13,0.0002460479736328125,4.346613842325684e-11,52835.22480620155,true
12,0.0002429485321044922,5.858746486049573e-9,49393.17762512267,true
13,0.00024700164794921875,5.814914893930293e-10,52631.227799227796,true
13,0.00027680397033691406,1.2267619932855589e-11,46964.64427217915,true
13,0.00029778480529785156,5.064428203705811e-12,43655.686148919136,true
12,0.00024390220642089844,2.4411595170085086e-13,49200.046920821114,true
13,0.0002589225769042969,2.9195702098487657e-9,50208.05893186004,true
14,0.00025081634521484375,3.892021325086323e-9,55817.73384030418,true
15,0.0002510547637939453,3.271813559940032e-9,59747.92022792023,true
15,0.0002529621124267578,6.396628942663841e-13,59297.41753063148,true
16,0.0002532005310058594,0.0,63191.02071563088,true
15,0.0002529621124267578,2.710906343126698e-9,59297.41753063148,true
16,0.00025200843811035156,4.379981142367241e-13,63489.93755912961,true
16,0.0002551078796386719,1.4858976551362901e-13,62718.56448598131,true
16,0.0002532005310058594,1.1499444991060229e-15,63191.02071563088,true
16,0.00025010108947753906,0.0,63974.13155386082,true
15,0.0002579689025878906,8.497577564573021e-9,58146.543438077635,true
15,0.0002541542053222656,1.1499444991060229e-15,59019.287054409004,true
