Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
9,0.3956639766693115,4.0047710372963514e-11,22.74657419096313,true
6,0.00011801719665527344,1.5037764227466596e-9,50840.048484848485,true
6,3.0040740966796875e-5,7.476600565751091e-10,199728.7619047619,true
8,6.008148193359375e-5,5.3239527822442795e-12,133152.50793650793,true
10,7.009506225585938e-5,2.0488290692085692e-13,142663.40136054423,true
8,4.00543212890625e-5,4.772080622808949e-9,199728.7619047619,true
10,5.1021575927734375e-5,2.9023966716235517e-12,195995.51401869158,true
9,4.601478576660156e-5,1.724986013448698e-9,195589.30569948186,true
12,7.581710815429688e-5,0.0,158275.62264150943,true
12,6.29425048828125e-5,3.087702524684054e-14,190650.18181818182,true
12,4.38690185546875e-5,1.619766168626348e-10,273541.5652173913,true
12,5.888938903808594e-5,7.070462043067273e-9,203771.85425101215,true
13,6.29425048828125e-5,4.346829394051675e-11,206537.69696969696,true
12,5.698204040527344e-5,5.858746486049573e-9,210592.66945606694,true
13,6.008148193359375e-5,5.814913251339979e-10,216372.82539682538,true
13,5.698204040527344e-5,1.22665411395617e-11,228142.05857740587,true
13,4.9114227294921875e-5,5.064428203705811e-12,264689.0873786408,true
12,4.482269287109375e-5,2.4411595170085086e-13,267721.5319148936,true
13,5.602836608886719e-5,2.9195702098487657e-9,232025.32765957445,true
14,6.198883056640625e-5,3.892021325086323e-9,225847.13846153847,true
15,6.4849853515625e-5,3.271813559940032e-9,231303.5294117647,true
15,6.29425048828125e-5,6.497725862367595e-13,238312.72727272726,true
16,6.699562072753906e-5,0.0,238821.58007117437,true
15,6.29425048828125e-5,2.710906343126698e-9,238312.72727272726,true
16,6.604194641113281e-5,4.39079945699394e-13,242270.26714801445,true
16,6.103515625e-5,1.4858976551362901e-13,262144.0,true
16,6.699562072753906e-5,1.9874425823910786e-15,238821.58007117437,true
16,7.295608520507812e-5,0.0,219310.01307189543,true
15,6.103515625e-5,8.497577564573021e-9,245760.0,true
15,6.413459777832031e-5,1.9874425823910786e-15,233883.12267657992,true
