Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
9.0,0.004746548334757487,1.2734615826233507e-9,333986.71491275006,1.0
10.0,2.9381116231282552e-5,7.37318461406546e-15,354525.67182209605,1.0
15.0,3.749529520670573e-5,1.2281278921846665e-15,405217.85448914085,1.0
8.0,2.0654996236165366e-5,3.3292753175214527e-12,396875.01566157944,1.0
9.0,2.3778279622395834e-5,2.436590491632153e-10,381517.78889446775,1.0
13.0,3.247261047363281e-5,2.1240867838635997e-15,404135.23321243346,1.0
16.0,4.204114278157552e-5,1.3682507732121903e-15,383929.6750604469,1.0
11.0,2.88089116414388e-5,2.2211860291206154e-15,387451.4335610708,1.0
15.0,3.959337870279948e-5,6.931658060714348e-13,383170.573865003,1.0
14.0,3.4856796264648435e-5,2.6707412144774547e-12,407258.451233605,1.0
20.0,5.1744778951009114e-5,9.085247806468634e-10,396781.13488853833,1.0
15.0,3.8282076517740885e-5,5.236176147048238e-15,395877.8120295798,1.0
23.0,5.7133038838704425e-5,2.3727400975592157e-12,404648.5647313151,1.0
21.0,4.985332489013672e-5,1.396932740584495e-15,425704.4404984972,1.0
19.0,4.796187082926432e-5,5.089486894410313e-9,398929.64786559157,1.0
24.0,5.783240000406901e-5,1.9378955792090784e-15,417223.3261156138,1.0
23.0,5.434354146321615e-5,1.2281101233761002e-15,425806.73446571117,1.0
23.0,5.5694580078125e-5,4.980981043607545e-10,416258.57205533795,1.0
23.0,5.78006108601888e-5,5.260452004025912e-10,400006.4934418466,1.0
24.0,5.9326489766438804e-5,1.9998172989767516e-12,407252.91498121974,1.0
29.0,6.644725799560547e-5,1.228109792985028e-15,438812.83041346085,1.0
31.0,7.164478302001953e-5,1.0689701390576096e-9,434630.0796558807,1.0
27.0,6.299813588460287e-5,1.9160846839077973e-9,431167.7217698305,1.0
28.0,6.626447041829427e-5,2.8200957227792848e-14,424759.0080360184,1.0
26.0,6.12497329711914e-5,1.1149150271902407e-13,427184.5230100598,1.0
27.0,6.348292032877604e-5,9.830329210464873e-10,428007.8664865274,1.0
31.0,7.069905598958334e-5,1.7861930843786985e-15,439931.574950105,1.0
26.0,5.939801534016927e-5,4.005515967461099e-13,440227.7780176576,1.0
31.0,7.32421875e-5,1.7863867793537668e-9,425165.0828632646,1.0
28.0,6.666183471679688e-5,1.2609872614334012e-15,422075.0770188534,1.0
