Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
26,0.00010800361633300781,6.878396443464113e-9,240732.6799116998,true
27,9.989738464355469e-5,3.3856542132423707e-9,270277.34606205253,true
27,8.511543273925781e-5,8.018190001480301e-9,317216.268907563,true
24,6.794929504394531e-5,7.625198839150885e-9,353204.54736842104,true
29,8.20159912109375e-5,4.177774995405598e-9,353589.5813953488,true
31,8.511543273925781e-5,4.472578340032637e-9,364211.27170868346,true
26,7.700920104980469e-5,4.558851354638004e-9,337621.99380804953,true
27,6.985664367675781e-5,4.901066345200357e-9,386505.8293515358,true
24,7.200241088867188e-5,7.112185727366124e-9,333322.1721854305,true
21,5.2928924560546875e-5,3.226790082937593e-9,396758.4864864865,true
28,7.700920104980469e-5,5.478932745715927e-9,363592.91640866874,true
29,8.20159912109375e-5,3.51077427633993e-9,353589.5813953488,true
29,8.20159912109375e-5,9.239989533967193e-9,353589.5813953488,true
26,7.915496826171875e-5,4.340445690326628e-9,328469.5903614458,true
28,8.082389831542969e-5,4.73489494723213e-9,346432.18879056047,true
28,8.606910705566406e-5,4.016198639026927e-9,325319.97783933516,true
28,7.486343383789062e-5,7.859688143398018e-9,374014.36942675157,true
27,7.605552673339844e-5,6.496239831619889e-9,355003.7868338558,true
30,8.487701416015625e-5,3.998888284736208e-9,353452.5842696629,true
27,8.20159912109375e-5,5.148804542456471e-9,329204.0930232558,true
29,7.510185241699219e-5,9.418104314174604e-9,386142.27301587304,true
28,7.605552673339844e-5,4.845925461155147e-9,368152.0752351097,true
25,7.295608520507812e-5,4.948215233851013e-9,342671.8954248366,true
27,8.0108642578125e-5,4.620356826617955e-9,337042.28571428574,true
30,8.702278137207031e-5,9.684805207940629e-9,344737.31506849313,true
30,8.797645568847656e-5,4.459842733041456e-9,341000.325203252,true
26,7.605552673339844e-5,6.039826180626522e-9,341855.49843260186,true
28,8.0108642578125e-5,8.935815404147886e-9,349525.3333333333,true
30,8.797645568847656e-5,6.4934683341689974e-9,341000.325203252,true
26,7.295608520507812e-5,5.197809266672129e-9,356378.7712418301,true
