Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
30,0.4186670780181885,2.1067797144222799e-10,71.65598055144113,true
47,0.0003039836883544922,7.715687954620989e-14,154613.55921568628,true
35,0.00021505355834960938,2.4950888519978558e-9,162750.15521064302,true
38,0.0002300739288330078,4.69726052179422e-10,165164.3025906736,true
50,0.000270843505859375,1.7391524956746237e-9,184608.45070422534,true
72,0.0003540515899658203,1.242792554824605e-13,203360.19393939394,true
84,0.0004260540008544922,4.238381957573312e-14,197158.1063234471,true
45,0.00022912025451660156,4.1801701700741096e-14,196403.41311134235,true
6,3.790855407714844e-5,1.328722306746622e-11,158275.62264150943,true
6,4.00543212890625e-5,4.238381957573312e-14,149796.57142857142,true
31,0.00015306472778320312,1.7005883724256848e-9,202528.69781931464,true
7,3.504753112792969e-5,1.537997108786217e-12,199728.7619047619,true
8,5.0067901611328125e-5,1.3679759250061908e-10,159783.00952380954,true
9,4.506111145019531e-5,2.0322388643647034e-13,199728.7619047619,true
8,5.698204040527344e-5,1.5546932172216363e-12,140395.11297071129,true
8,4.9114227294921875e-5,9.535473696396066e-11,162885.5922330097,true
8,4.887580871582031e-5,1.6465498251445097e-9,163680.15609756098,true
8,4.696846008300781e-5,3.2398715650041105e-13,170327.0659898477,true
8,4.506111145019531e-5,1.1170410982041549e-13,177536.67724867724,true
9,5.7220458984375e-5,5.7926600358217035e-12,157286.4,true
10,5.507469177246094e-5,2.70733565645898e-14,181571.60173160172,true
9,4.506111145019531e-5,7.568183400048833e-9,199728.7619047619,true
10,4.9114227294921875e-5,4.01062204451859e-11,203606.99029126213,true
10,6.508827209472656e-5,2.519470831572856e-13,153637.50915750916,true
11,6.198883056640625e-5,1.5623735184818057e-14,177451.3230769231,true
10,4.792213439941406e-5,4.268731500767904e-9,208671.8407960199,true
10,5.698204040527344e-5,4.339340018698765e-10,175493.8912133891,true
11,6.508827209472656e-5,2.70733565645898e-14,169001.26007326008,true
11,6.890296936035156e-5,1.5623735184818057e-14,159644.78892733564,true
10,5.793571472167969e-5,4.1801701700741096e-14,172605.10288065844,true
