Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
10,0.3878929615020752,9.99530373122102e-12,25.780307952162985,true
19,0.0004820823669433594,6.546412160961271e-13,39412.35212660732,true
30,0.00031304359436035156,2.70733565645898e-14,95833.2977913176,true
27,0.0003178119659423828,5.086711874211983e-14,84955.89497374343,true
7,0.00023794174194335938,6.605342023520899e-9,29418.965931863728,true
18,0.0002810955047607422,3.3269560627736246e-10,64035.17557251908,true
11,0.00025200843811035156,3.184426027559936e-10,43649.33207190161,true
17,0.0002510547637939453,2.3820193290143343e-10,67714.30959164293,true
6,0.0002429485321044922,1.332928238996402e-11,24696.588812561335,true
6,0.000244140625,1.5623735184818057e-14,24576.0,true
10,0.00025010108947753906,2.70733565645898e-14,39983.832221163015,true
7,0.0002410411834716797,1.537997108786217e-12,29040.680514342235,true
8,0.00024390220642089844,1.3679759250061908e-10,32800.03128054741,true
9,0.00024700164794921875,7.024479657704289e-14,36437.00386100386,true
8,0.0002429485321044922,1.5546932172216363e-12,32928.78508341511,true
8,0.00024199485778808594,9.535473696396066e-11,33058.55369458128,true
8,0.00024700164794921875,1.6465557471498107e-9,32388.447876447877,true
8,0.00024700164794921875,3.2398715650041105e-13,32388.447876447877,true
8,0.00024700164794921875,1.1170410982041549e-13,32388.447876447877,true
9,0.0002460479736328125,5.7926600358217035e-12,36578.232558139534,true
10,0.00025200843811035156,1.5623735184818057e-14,39681.21097445601,true
9,0.0002770423889160156,7.568183400048833e-9,32486.003442340792,true
10,0.0002689361572265625,4.01062204451859e-11,37183.54609929078,true
10,0.0002448558807373047,2.519470831572856e-13,40840.35053554041,true
11,0.0002758502960205078,4.238381957573312e-14,39876.70181503889,true
10,0.00027298927307128906,4.268731500767904e-9,36631.47598253275,true
10,0.00024819374084472656,4.339340018698765e-10,40291.10470701249,true
11,0.000247955322265625,1.5623735184818057e-14,44362.83076923077,true
11,0.00025010108947753906,1.5623735184818057e-14,43982.21544327931,true
10,0.00024390220642089844,4.1801701700741096e-14,41000.03910068426,true
