Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
10,0.4296610355377197,9.945745782654144e-12,23.274160728782455,true
19,0.00015401840209960938,6.546412160961271e-13,123361.88235294117,true
30,0.00015115737915039062,2.70733565645898e-14,198468.64353312302,true
27,0.00012087821960449219,5.086711874211983e-14,223365.30177514793,true
7,5.602836608886719e-5,6.605358974310555e-9,124936.71489361703,true
18,8.606910705566406e-5,3.3269560627736246e-10,209134.27146814406,true
11,5.793571472167969e-5,3.184426027559936e-10,189865.6131687243,true
17,7.390975952148438e-5,2.381936370845267e-10,230010.21935483871,true
6,2.9087066650390625e-5,1.328722306746622e-11,206277.24590163934,true
6,3.0994415283203125e-5,4.238381957573312e-14,193583.26153846155,true
10,4.792213439941406e-5,2.70733565645898e-14,208671.8407960199,true
7,3.409385681152344e-5,1.537997108786217e-12,205315.58041958042,true
8,3.910064697265625e-5,1.3679759250061908e-10,204600.19512195123,true
9,3.3855438232421875e-5,7.024479657704289e-14,265836.1690140845,true
8,3.695487976074219e-5,1.5546932172216363e-12,216480.2064516129,true
8,4.00543212890625e-5,9.535473696396066e-11,199728.7619047619,true
8,3.886222839355469e-5,1.6465498251445097e-9,205855.4110429448,true
8,3.790855407714844e-5,3.2398715650041105e-13,211034.1635220126,true
8,4.00543212890625e-5,1.1170410982041549e-13,199728.7619047619,true
9,4.100799560546875e-5,5.7926600358217035e-12,219469.39534883722,true
10,4.792213439941406e-5,2.70733565645898e-14,208671.8407960199,true
9,4.506111145019531e-5,7.568183400048833e-9,199728.7619047619,true
10,4.601478576660156e-5,4.01062204451859e-11,217321.45077720206,true
10,5.1021575927734375e-5,2.519470831572856e-13,195995.51401869158,true
11,5.1975250244140625e-5,1.5623735184818057e-14,211639.19266055047,true
10,4.696846008300781e-5,4.268731500767904e-9,212908.83248730964,true
10,4.1961669921875e-5,4.339340018698765e-10,238312.72727272726,true
11,5.221366882324219e-5,2.70733565645898e-14,210672.80365296802,true
11,5.1021575927734375e-5,1.5623735184818057e-14,215595.06542056074,true
10,4.887580871582031e-5,4.1801701700741096e-14,204600.19512195123,true
