Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
26.0,0.00479431947072347,1.6602155849344218e-13,366244.96166673244,1.0
7.0,2.0154317220052083e-5,9.297699695954822e-9,363621.3808137391,1.0
8.0,2.0718574523925783e-5,2.4812942531292605e-14,390539.8300302165,1.0
8.0,1.845359802246094e-5,4.35030856629496e-14,437921.03966012213,1.0
9.0,2.4867057800292968e-5,7.576266274373508e-12,365152.9712792017,1.0
10.0,2.5478998819986978e-5,1.8884042219891953e-14,397075.03154745576,1.0
8.0,2.1330515543619792e-5,9.742943509175104e-9,376924.3329754186,1.0
9.0,2.288023630777995e-5,2.5136016032623397e-10,400615.68803845387,1.0
8.0,2.346038818359375e-5,3.093574193092821e-14,399344.0502976209,1.0
9.0,2.40325927734375e-5,4.782987168225457e-14,377590.98467735323,1.0
10.0,2.70843505859375e-5,1.6262156371966542e-14,371482.47631270136,1.0
10.0,2.6297569274902343e-5,6.699061157050773e-15,383061.1819142933,1.0
8.0,2.1330515543619792e-5,2.6506539478595686e-14,376645.2734429341,1.0
20.0,4.86453374226888e-5,2.016319221096405e-14,421186.6810953144,1.0
16.0,4.185040791829427e-5,1.715035136878762e-14,385818.5063840318,1.0
15.0,3.815491994222005e-5,2.2875162058673486e-14,399615.8161833646,1.0
39.0,9.191036224365234e-5,2.0966891828711526e-14,425237.21222261287,1.0
13.0,3.481705983479818e-5,1.995062441178007e-14,377967.8478553166,1.0
24.0,5.7514508565266924e-5,2.2249408922023954e-14,420440.0190376376,1.0
12.0,3.2130877176920576e-5,1.176832051371742e-10,377148.6651453627,1.0
37.0,8.60293706258138e-5,5.9802071983155695e-12,432056.8292970132,1.0
27.0,6.519158681233724e-5,7.472383763025658e-11,415635.088434269,1.0
34.0,7.813771565755209e-5,7.285046221150769e-9,436679.07329261553,1.0
26.0,6.070931752522786e-5,1.5015803650127487e-10,430477.23331227497,1.0
40.0,9.330113728841145e-5,2.079914546362247e-13,429901.71202882956,1.0
23.0,5.660057067871094e-5,7.923188680828478e-13,409391.5793468534,1.0
17.0,4.3622652689615886e-5,1.079046887037734e-12,394049.83486248314,1.0
27.0,6.71227773030599e-5,3.058570456510362e-11,409335.50569028273,1.0
19.0,4.758040110270182e-5,1.9187316319795292e-14,403811.32395079295,1.0
36.0,8.295377095540365e-5,1.7469020703236627e-14,435176.0356345648,1.0
