Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
26,0.00010609626770019531,6.878396443464113e-9,245060.4584269663,true
27,9.799003601074219e-5,3.3856542132423707e-9,275538.2189781022,true
27,7.700920104980469e-5,8.018190001480301e-9,350607.4551083591,true
24,6.699562072753906e-5,7.625198839150885e-9,358232.3701067616,true
29,8.416175842285156e-5,4.177774995405598e-9,344574.54957507085,true
31,9.918212890625e-5,4.472578340032637e-9,312556.3076923077,true
26,7.700920104980469e-5,4.558851354638004e-9,337621.99380804953,true
27,8.296966552734375e-5,4.901066345200357e-9,325420.1379310345,true
24,6.914138793945312e-5,7.112185727366124e-9,347114.81379310344,true
21,6.29425048828125e-5,3.226790082937593e-9,333637.8181818182,true
28,7.987022399902344e-5,5.478932745715927e-9,350568.69253731344,true
29,8.20159912109375e-5,3.51077427633993e-9,353589.5813953488,true
29,8.821487426757812e-5,9.239989533967193e-9,328742.74594594596,true
26,7.581710815429688e-5,4.340445690326628e-9,342930.5157232704,true
28,8.20159912109375e-5,4.73489494723213e-9,341396.83720930235,true
28,8.20159912109375e-5,4.016198639026927e-9,341396.83720930235,true
28,7.796287536621094e-5,7.859688143398018e-9,359145.2966360856,true
27,7.486343383789062e-5,6.496239831619889e-9,360656.71337579616,true
30,8.511543273925781e-5,3.998888284736208e-9,352462.5210084034,true
27,8.0108642578125e-5,5.148804542456471e-9,337042.28571428574,true
29,9.083747863769531e-5,9.418104314174604e-9,319251.48556430446,true
28,7.581710815429688e-5,4.845925461155147e-9,369309.786163522,true
25,7.390975952148438e-5,4.948215233851013e-9,338250.32258064515,true
27,6.794929504394531e-5,4.620356826617955e-9,397355.1157894737,true
30,8.988380432128906e-5,9.684805207940629e-9,333764.2440318302,true
30,8.320808410644531e-5,4.459842733041456e-9,360541.8911174785,true
26,7.915496826171875e-5,6.039826180626522e-9,328469.5903614458,true
28,7.581710815429688e-5,8.935815404147886e-9,369309.786163522,true
30,8.392333984375e-5,6.4934683341689974e-9,357469.0909090909,true
26,7.200241088867188e-5,5.197809266672129e-9,361099.01986754965,true
