Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
1000,0.38582587242126465,Inf,2591.8427754065915,false
49,0.0007081031799316406,4.784936357977681e-9,69198.95488215488,true
4,0.0004420280456542969,0.0,9049.199568500539,true
13,0.0003170967102050781,0.0,40996.956390977444,true
4,0.0002491474151611328,0.0,16054.752153110048,true
4,0.00024318695068359375,0.0,16448.250980392157,true
7,0.0002741813659667969,5.5473512136425213e-11,25530.54608695652,true
21,0.00035881996154785156,1.317882048667809e-106,58525.172093023255,true
1000,0.005466938018798828,0.004590319196182286,182917.74967291756,false
1000,0.0011470317840576172,Inf,871815.4229889836,false
1000,0.18737387657165527,1.3617023680643086e-7,5336.923258977253,false
1000,0.0006260871887207031,Inf,1.5972216298552933e6,false
5,0.00025391578674316406,0.0,19691.56807511737,true
247,0.001493215560913086,6.479042330464783e-36,165414.83123103942,true
1000,0.0011050701141357422,Inf,904919.956850054,false
1000,0.005597114562988281,0.012989107505530104,178663.4861134776,false
69,0.0006480216979980469,1.136402080649644e-34,106477.91611479029,true
1000,0.0005249977111816406,Inf,1.904770208900999e6,false
1000,0.21652007102966309,1.3989856773209786e-6,4618.509476948217,false
85,0.0006778240203857422,7.0547926409278216e-9,125401.28033767147,true
1000,0.0004379749298095703,Inf,2.283235710397387e6,false
79,0.0006499290466308594,4.242623387497226e-9,121551.73000733675,true
1000,0.00029587745666503906,Inf,3.379777598710717e6,false
1000,0.0002579689025878906,Inf,3.876436229205176e6,false
1000,0.0002999305725097656,Inf,3.3341049284578697e6,false
116,0.0008409023284912109,1.0032294047728876e-9,137947.05528777998,true
1000,0.21921491622924805,4.757811381391151e93,4561.733376547386,false
1000,0.21915507316589355,1.486349932596854e92,4562.979015516703,false
1000,0.0003039836883544922,Inf,3.2896501960784313e6,false
1000,0.00027489662170410156,Inf,3.6377311361665223e6,false
