Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
2,6.103515625e-5,0.0,32768.0,true
2,3.790855407714844e-5,0.0,52758.54088050315,true
1000,0.0012319087982177734,2.308189589809065e-6,811748.4033288175,false
3,1.3113021850585938e-5,0.0,228780.21818181817,true
1000,0.0012128353118896484,8.173132128332675e-6,824514.25201494,false
424,0.0007801055908203125,9.590645271669116e-9,543516.1662591686,true
385,0.0006940364837646484,9.941913755921983e-9,554725.8811405016,true
2,1.4066696166992188e-5,0.0,142179.7966101695,true
2,6.9141387939453125e-6,0.0,289262.3448275862,true
2,4.291534423828125e-5,0.0,46603.37777777778,true
2,4.38690185546875e-5,0.0,45590.260869565216,true
2,3.3855438232421875e-5,0.0,59074.704225352114,true
694,0.0015048980712890625,9.826198124696409e-9,461160.8010139417,true
2,3.504753112792969e-5,0.0,57065.360544217685,true
2,3.3855438232421875e-5,0.0,59074.704225352114,true
2,3.3855438232421875e-5,0.0,59074.704225352114,true
2,3.695487976074219e-5,0.0,54120.051612903226,true
2,1.9073486328125e-5,0.0,104857.6,true
2,2.09808349609375e-5,0.0,95325.09090909091,true
375,0.0007331371307373047,9.302793614959476e-9,511500.48780487804,true
2,1.0013580322265625e-5,0.0,199728.7619047619,true
2,2.8133392333984375e-5,0.0,71089.89830508475,true
2,3.600120544433594e-5,0.0,55553.69536423841,true
2,4.291534423828125e-5,0.0,46603.37777777778,true
2,3.600120544433594e-5,0.0,55553.69536423841,true
2,3.3855438232421875e-5,0.0,59074.704225352114,true
2,3.3855438232421875e-5,0.0,59074.704225352114,true
2,3.600120544433594e-5,0.0,55553.69536423841,true
2,3.2901763916015625e-5,0.0,60787.014492753624,true
1000,9.512901306152344e-5,Inf,1.0512040100250626e7,false
