Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
3,0.42076706886291504,1.3343220141704517e-16,7.1298355361013135,true
3,9.083747863769531e-5,1.8503717078566236e-17,33026.015748031496,true
3,3.600120544433594e-5,2.890373006125484e-16,83330.54304635762,true
3,3.790855407714844e-5,1.2412670766236366e-16,79137.81132075471,true
3,2.09808349609375e-5,6.206335383118183e-17,142987.63636363635,true
3,2.09808349609375e-5,1.8503717078566236e-17,142987.63636363635,true
3,3.814697265625e-5,4.625929269641559e-18,78643.2,true
3,1.811981201171875e-5,7.31423639283887e-18,165564.63157894736,true
3,1.8835067749023438e-5,1.3343220141704517e-16,159277.3670886076,true
3,1.4066696166992188e-5,1.8503717078566236e-17,213269.69491525425,true
3,1.5020370483398438e-5,1.8503717078566236e-17,199728.7619047619,true
3,2.002716064453125e-5,3.700743415713247e-17,149796.57142857142,true
3,1.621246337890625e-5,1.1102230247139744e-16,185042.82352941178,true
3,1.8835067749023438e-5,1.1255371690725095e-16,159277.3670886076,true
3,1.5020370483398438e-5,3.700743415713247e-17,199728.7619047619,true
3,1.5974044799804688e-5,2.3405556457084385e-16,187804.6567164179,true
3,1.5974044799804688e-5,7.401486831426494e-17,187804.6567164179,true
3,1.4781951904296875e-5,2.482534153247273e-16,202950.1935483871,true
3,1.3828277587890625e-5,2.482534153247273e-16,216946.75862068965,true
3,1.6927719116210938e-5,1.4802973662852989e-16,177224.11267605633,true
3,1.6927719116210938e-5,5.337288056681807e-16,177224.11267605633,true
3,1.5974044799804688e-5,1.4802973662852989e-16,187804.6567164179,true
3,1.6927719116210938e-5,4.965068306494546e-16,177224.11267605633,true
3,1.4066696166992188e-5,0.0,213269.69491525425,true
3,1.4066696166992188e-5,1.0674576113363614e-15,213269.69491525425,true
3,1.5020370483398438e-5,9.362222582833754e-16,199728.7619047619,true
3,1.5020370483398438e-5,7.401486831426494e-17,199728.7619047619,true
3,1.5020370483398438e-5,0.0,199728.7619047619,true
3,1.4066696166992188e-5,5.337288056681807e-16,213269.69491525425,true
3,1.3828277587890625e-5,0.0,216946.75862068965,true
