Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
2.0,0.004837393760681152,1.0902428299980438e-12,257585.23444749738,1.0
2.0,8.138020833333333e-6,4.235737150926088e-14,301056.3614519998,1.0
2.0,6.1194101969401044e-6,8.551793716461047e-14,350343.65764601174,1.0
2.0,5.125999450683594e-6,2.608549265416671e-14,407416.7509042286,1.0
2.0,5.896886189778646e-6,1.9668475768239358e-13,361238.567873952,1.0
2.0,5.7856241861979164e-6,4.131838649971459e-13,351459.1211663821,1.0
2.0,5.475680033365885e-6,1.459134367281624e-13,378120.2239601355,1.0
2.0,4.99884287516276e-6,1.6244656666046742e-13,413614.55545076256,1.0
2.0,5.594889322916666e-6,1.853529463831916e-13,379419.6559968354,1.0
2.0,5.515416463216146e-6,3.649206837703212e-13,367196.32697281364,1.0
2.0,5.245208740234375e-6,6.153233605506058e-13,391172.69644070975,1.0
2.0,5.420049031575521e-6,4.109442452294823e-13,378132.99592210376,1.0
2.0,5.292892456054687e-6,7.390034211490395e-14,382876.3904074183,1.0
2.0,5.626678466796875e-6,1.323748442464405e-14,358706.49896678055,1.0
2.0,5.459785461425781e-6,4.953324345490167e-12,372381.71236809366,1.0
2.0,5.038579305013021e-6,2.5665651204320036e-13,408133.49316285894,1.0
2.0,5.563100179036458e-6,5.399469292706864e-15,366524.8718465849,1.0
2.0,5.451838175455729e-6,3.731674317914726e-13,373330.3798384318,1.0
2.0,5.316734313964844e-6,2.8146346996718913e-11,383601.07848940615,1.0
2.0,5.078315734863281e-6,3.1956624594883416e-13,407426.3399095025,1.0
2.0,5.4836273193359375e-6,1.2187159732174835e-12,370339.4501989515,1.0
2.0,5.412101745605469e-6,1.5586190128334302e-12,377797.4657296908,1.0
2.0,6.055831909179687e-6,6.361012345589769e-12,369531.88719823083,1.0
2.0,8.757909138997396e-6,6.009205477264109e-13,371565.9896042017,1.0
2.0,5.594889322916666e-6,2.7988968114258517e-12,361072.5166078061,1.0
2.0,5.475680033365885e-6,6.826317454616412e-14,370039.8570560944,1.0
2.0,5.133946736653646e-6,2.4119558220988736e-14,397548.9543207644,1.0
2.0,5.7140986124674475e-6,5.933195530390377e-13,355441.8213583975,1.0
2.0,5.769729614257812e-6,1.9946135323777525e-14,351642.45613193756,1.0
2.0,5.404154459635417e-6,3.9876306992659124e-14,378963.6928466171,1.0
