Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
240,0.0002338886260986328,9.95349051665174e-9,1.0261294189602446e6,true
243,0.0002110004425048828,9.926876955737377e-9,1.151656352542373e6,true
249,0.00018906593322753906,9.997716330299492e-9,1.3170008776796972e6,true
241,0.00018906593322753906,9.856156579460519e-9,1.2746875964691048e6,true
225,0.00017499923706054688,9.66790431955033e-9,1.2857198910081743e6,true
224,0.0001800060272216797,9.589958285071034e-9,1.2444027761589405e6,true
216,0.00017309188842773438,9.954316622052117e-9,1.2478920991735538e6,true
201,0.0001780986785888672,9.380547621221563e-9,1.1285878232931728e6,true
239,0.00020503997802734375,9.79934245334868e-9,1.1656263441860466e6,true
240,0.00018596649169921875,9.6099206436249e-9,1.290555076923077e6,true
236,0.00018310546875,9.63158417433092e-9,1.2888746666666667e6,true
246,0.0002079010009765625,9.824364396378469e-9,1.183255486238532e6,true
252,0.0001919269561767578,9.622325287067618e-9,1.3129995130434784e6,true
243,0.00018405914306640625,9.675557452851803e-9,1.3202278134715026e6,true
252,0.00020003318786621094,9.513999595187435e-9,1.2597909511323003e6,true
252,0.0001990795135498047,9.504986927272688e-9,1.2658258778443113e6,true
252,0.0001888275146484375,9.903726620852706e-9,1.3345512727272727e6,true
247,0.00018715858459472656,9.366272186271424e-9,1.3197364178343948e6,true
251,0.00018596649169921875,9.829495269251662e-9,1.349705517948718e6,true
256,0.00021195411682128906,9.366144399673064e-9,1.207808575928009e6,true
262,0.00021910667419433594,9.628129601956613e-9,1.195764578890098e6,true
260,0.00019097328186035156,9.750860436038561e-9,1.361446991260924e6,true
264,0.00021696090698242188,9.485798237118102e-9,1.2168090725274726e6,true
263,0.0001990795135498047,9.463429143767433e-9,1.3210801820359281e6,true
266,0.00020194053649902344,9.62152349111949e-9,1.317219438016529e6,true
265,0.00019812583923339844,9.807460204582899e-9,1.3375337665463297e6,true
264,0.00019693374633789062,9.988346235027009e-9,1.340552368038741e6,true
265,0.00019788742065429688,9.656543630645495e-9,1.339145253012048e6,true
265,0.0002048015594482422,9.553892558984418e-9,1.2939354598370197e6,true
261,0.00020313262939453125,9.597438581364555e-9,1.2848748169014084e6,true
