Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
3,0.4343380928039551,1.3343220141704517e-16,6.907061686975023,true
3,8.511543273925781e-5,1.8503717078566236e-17,35246.252100840335,true
3,3.409385681152344e-5,2.890373006125484e-16,87992.39160839161,true
3,2.09808349609375e-5,1.2412670766236366e-16,142987.63636363635,true
3,3.1948089599609375e-5,6.206335383118183e-17,93902.32835820895,true
3,1.2874603271484375e-5,1.8503717078566236e-17,233016.88888888888,true
3,1.4066696166992188e-5,4.625929269641559e-18,213269.69491525425,true
3,1.6927719116210938e-5,7.31423639283887e-18,177224.11267605633,true
3,1.5020370483398438e-5,1.3343220141704517e-16,199728.7619047619,true
3,1.0013580322265625e-5,1.8503717078566236e-17,299593.14285714284,true
3,2.9087066650390625e-5,1.8503717078566236e-17,103138.62295081967,true
3,1.4066696166992188e-5,3.700743415713247e-17,213269.69491525425,true
3,1.7881393432617188e-5,1.1102230247139744e-16,167772.16,true
3,1.4066696166992188e-5,1.1255371690725095e-16,213269.69491525425,true
3,1.4066696166992188e-5,3.700743415713247e-17,213269.69491525425,true
3,1.5020370483398438e-5,2.3405556457084385e-16,199728.7619047619,true
3,1.3113021850585938e-5,7.401486831426494e-17,228780.21818181817,true
3,1.3113021850585938e-5,2.482534153247273e-16,228780.21818181817,true
3,1.2874603271484375e-5,2.482534153247273e-16,233016.88888888888,true
3,1.2874603271484375e-5,1.4802973662852989e-16,233016.88888888888,true
3,1.5020370483398438e-5,5.337288056681807e-16,199728.7619047619,true
3,1.2874603271484375e-5,1.4802973662852989e-16,233016.88888888888,true
3,1.3113021850585938e-5,4.965068306494546e-16,228780.21818181817,true
3,1.2874603271484375e-5,0.0,233016.88888888888,true
3,1.3113021850585938e-5,1.0674576113363614e-15,228780.21818181817,true
3,1.2874603271484375e-5,9.362222582833754e-16,233016.88888888888,true
3,1.4066696166992188e-5,7.401486831426494e-17,213269.69491525425,true
3,1.3113021850585938e-5,0.0,228780.21818181817,true
3,1.4066696166992188e-5,5.337288056681807e-16,213269.69491525425,true
3,1.3113021850585938e-5,0.0,228780.21818181817,true
