Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
2.0,0.004737575848897298,1.0902428299980438e-12,349923.90796727565,1.0
2.0,7.01745351155599e-6,4.235737150926088e-14,367307.2735756375,1.0
2.0,4.744529724121093e-6,8.551793716461047e-14,435038.1322665004,1.0
2.0,4.2279561360677086e-6,2.608549265416671e-14,502323.7927249221,1.0
2.0,4.00543212890625e-6,1.9668475768239358e-13,531473.7166783022,1.0
2.0,4.633267720540365e-6,4.131838649971459e-13,443998.9958394026,1.0
2.0,4.625320434570312e-6,1.459134367281624e-13,440600.89563686005,1.0
2.0,3.989537556966146e-6,1.6244656666046742e-13,540189.9148441046,1.0
2.0,4.450480143229167e-6,1.853529463831916e-13,457342.86538475915,1.0
2.0,4.514058430989583e-6,3.649206837703212e-13,455721.8078743435,1.0
2.0,4.42663828531901e-6,6.153233605506058e-13,460426.91244358267,1.0
2.0,4.569689432779948e-6,4.109442452294823e-13,457128.67662199255,1.0
2.0,4.164377848307291e-6,7.390034211490395e-14,502509.4312018963,1.0
2.0,3.989537556966146e-6,1.323748442464405e-14,525538.1875745171,1.0
2.0,4.863739013671875e-6,4.953324345490167e-12,431204.72578801145,1.0
2.0,4.243850708007813e-6,2.5665651204320036e-13,495112.839511025,1.0
2.0,4.331270853678386e-6,5.399469292706864e-15,474570.4501616033,1.0
2.0,4.736582438151042e-6,3.731674317914726e-13,429820.81436931714,1.0
2.0,4.7047932942708336e-6,2.8146346996718913e-11,432647.74453781534,1.0
2.0,3.735224405924479e-6,3.1956624594883416e-13,556785.3456869927,1.0
2.0,4.275639851888021e-6,1.2187159732174835e-12,491625.7199281765,1.0
2.0,4.363059997558594e-6,1.5586190128334302e-12,479233.19793952454,1.0
2.0,4.418690999348959e-6,6.361012345589769e-12,462527.98069381615,1.0
2.0,3.846486409505208e-6,6.009205477264109e-13,538962.6414996769,1.0
2.0,4.069010416666667e-6,2.7988968114258517e-12,519423.71596006624,1.0
2.0,4.680951436360677e-6,6.826317454616412e-14,432818.10142296937,1.0
2.0,3.2027562459309896e-6,2.4119558220988736e-14,633863.9284062342,1.0
2.0,3.0358632405598956e-6,5.933195530390377e-13,680748.4728674375,1.0
2.0,3.24249267578125e-6,1.9946135323777525e-14,638800.6630754865,1.0
2.0,3.0914942423502604e-6,3.9876306992659124e-14,667920.242936149,1.0
