Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
6,0.4012260437011719,2.309533460062383e-10,14.954163854001274,true
5,0.0001659393310546875,7.832782317854849e-9,30131.494252873563,true
6,0.0001010894775390625,3.763488091531091e-10,59353.35849056604,true
6,8.296966552734375e-5,1.3545996881237235e-10,72315.58620689655,true
6,8.487701416015625e-5,9.281439401239532e-11,70690.51685393258,true
6,9.608268737792969e-5,3.3892816991661994e-10,62446.21339950372,true
6,0.00010919570922851562,2.139294310302599e-10,54947.213973799124,true
6,8.392333984375e-5,3.052772898290886e-10,71493.81818181818,true
6,7.700920104980469e-5,2.0164030592527646e-10,77912.76780185758,true
6,7.915496826171875e-5,1.5219635288880633e-10,75800.67469879518,true
6,6.198883056640625e-5,6.606860675139849e-10,96791.63076923077,true
6,7.295608520507812e-5,1.0203639158832944e-9,82241.25490196078,true
6,7.414817810058594e-5,5.1572774161185e-12,80919.04823151126,true
6,5.984306335449219e-5,1.0542578984160354e-10,100262.24701195219,true
6,6.794929504394531e-5,8.406865064995705e-10,88301.13684210526,true
6,6.818771362304688e-5,2.1408445458231762e-10,87992.39160839161,true
6,7.295608520507812e-5,8.377809974669551e-10,82241.25490196078,true
6,7.009506225585938e-5,4.1412900113170414e-10,85598.04081632652,true
6,6.914138793945312e-5,7.836340310799268e-10,86778.70344827586,true
6,6.318092346191406e-5,5.491798124414842e-10,94965.37358490565,true
6,6.604194641113281e-5,2.607394247348133e-10,90851.35018050541,true
6,6.008148193359375e-5,3.5541665885757187e-10,99864.38095238095,true
6,6.890296936035156e-5,1.8045191057820422e-10,87078.97577854671,true
6,7.390975952148438e-5,3.825316873098727e-10,81180.07741935484,true
6,6.413459777832031e-5,3.553647549459376e-10,93553.24907063197,true
6,6.794929504394531e-5,5.161163119905055e-10,88301.13684210526,true
6,7.319450378417969e-5,7.388969361957707e-10,81973.36807817589,true
6,6.508827209472656e-5,8.672033918999144e-10,92182.5054945055,true
6,6.604194641113281e-5,6.970783083616773e-10,90851.35018050541,true
6,7.200241088867188e-5,8.143585174681178e-10,83330.54304635762,true
