Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
6,0.3920409679412842,2.309533460062383e-10,15.30452297245276,true
5,0.00013399124145507812,7.832782317854849e-9,37315.871886121,true
6,0.00010013580322265625,3.763488091531091e-10,59918.62857142857,true
6,8.678436279296875e-5,1.3545996881237235e-10,69136.87912087912,true
6,7.200241088867188e-5,9.281439401239532e-11,83330.54304635762,true
6,6.389617919921875e-5,3.3892816991661994e-10,93902.32835820895,true
6,6.508827209472656e-5,2.139294310302599e-10,92182.5054945055,true
6,7.104873657226562e-5,3.052772898290886e-10,84449.07382550335,true
6,6.103515625e-5,2.0164030592527646e-10,98304.0,true
6,5.888938903808594e-5,1.5219635288880633e-10,101885.92712550607,true
6,5.91278076171875e-5,6.606860675139849e-10,101475.09677419355,true
6,5.817413330078125e-5,1.0203639158832944e-9,103138.62295081967,true
6,7.200241088867188e-5,5.1572774161185e-12,83330.54304635762,true
6,6.890296936035156e-5,1.0542578984160354e-10,87078.97577854671,true
6,6.699562072753906e-5,8.406865064995705e-10,89558.0925266904,true
6,6.389617919921875e-5,2.1408445458231762e-10,93902.32835820895,true
6,0.00010395050048828125,8.377809974669551e-10,57719.779816513765,true
6,7.605552673339844e-5,4.1412900113170414e-10,78889.73040752352,true
6,6.794929504394531e-5,7.836340310799268e-10,88301.13684210526,true
6,5.817413330078125e-5,5.491798124414842e-10,103138.62295081967,true
6,6.818771362304688e-5,2.607394247348133e-10,87992.39160839161,true
6,6.890296936035156e-5,3.5541665885757187e-10,87078.97577854671,true
6,6.008148193359375e-5,1.8045191057820422e-10,99864.38095238095,true
6,6.699562072753906e-5,3.825316873098727e-10,89558.0925266904,true
6,6.580352783203125e-5,3.553647549459376e-10,91180.52173913043,true
6,7.200241088867188e-5,5.161163119905055e-10,83330.54304635762,true
6,5.91278076171875e-5,7.388969361957707e-10,101475.09677419355,true
6,6.818771362304688e-5,8.672033918999144e-10,87992.39160839161,true
6,6.4849853515625e-5,6.970783083616773e-10,92521.41176470589,true
6,6.794929504394531e-5,8.143585174681178e-10,88301.13684210526,true
