Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
10.233333333333333,0.005996425946553548,5.321321591013085e-9,102243.61104109405,1.0
10.5,9.998480478922526e-5,3.0922617496393848e-9,105856.87450903186,1.0
10.533333333333333,9.991327921549479e-5,3.2495950789873544e-9,105914.75352188319,1.0
10.0,9.089310963948568e-5,3.889784450871736e-9,110255.12924594934,1.0
10.466666666666667,9.827613830566406e-5,3.7112459688431863e-9,107887.30260189615,1.0
10.4,9.408791859944661e-5,4.608004638535473e-9,110873.9924078792,1.0
10.7,9.99291737874349e-5,3.0466271236874726e-9,107869.21583638983,1.0
10.566666666666666,9.51369603474935e-5,4.046470640647238e-9,111272.38584424784,1.0
10.6,9.253025054931641e-5,3.8586680204204614e-9,114778.08780542259,1.0
10.466666666666667,9.562969207763672e-5,3.331704147886358e-9,110279.88611572515,1.0
10.0,0.006097968419392904,3.40948667503473e-9,105890.77386670034,1.0
9.966666666666667,9.079774220784505e-5,3.3585592762629834e-9,110482.6557625872,1.0
9.966666666666667,9.217262268066407e-5,1.7653286934987446e-9,108465.63893136661,1.0
9.8,8.431275685628255e-5,4.406949345417616e-9,116252.52092247717,1.0
9.433333333333334,8.577505747477213e-5,3.447113526102175e-9,110693.11646499012,1.0
9.9,8.979638417561849e-5,3.742360660964964e-9,110476.60118574623,1.0
9.566666666666666,8.538564046223958e-5,4.1388746295656805e-9,112289.15493706483,1.0
9.4,8.774598439534506e-5,3.5212792950709377e-9,107810.95430026787,1.0
9.666666666666666,8.669694264729818e-5,2.9337798472591496e-9,111680.3588553117,1.0
9.466666666666667,8.624394734700521e-5,3.769719261718791e-9,110270.89786372753,1.0
8.833333333333334,8.308092753092447e-5,2.2557840804261906e-9,106705.38083431241,1.0
9.066666666666666,7.947285970052083e-5,4.092575905631578e-9,114483.54964555758,1.0
9.966666666666667,9.241898854573568e-5,2.9777006965293094e-9,108628.5551425315,1.0
9.266666666666667,8.50836435953776e-5,4.548305306263402e-9,109313.28522496478,1.0
9.966666666666667,8.907318115234376e-5,4.600168585656219e-9,112909.50668488689,1.0
9.533333333333333,8.826255798339843e-5,4.0891625045446196e-9,108776.52783638712,1.0
9.966666666666667,9.018580118815104e-5,2.765540458708144e-9,110861.94212929999,1.0
10.0,8.939901987711588e-5,3.569236492503587e-9,112248.62036372688,1.0
9.566666666666666,8.950233459472656e-5,3.6672546386664208e-9,107196.33852598585,1.0
9.433333333333334,8.591810862223307e-5,4.170957850907812e-9,110227.29901073356,1.0
