Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
10.233333333333333,0.004812455177307129,5.321321591013085e-9,146059.6294728215,1.0
10.5,6.69399897257487e-5,3.0922617496393848e-9,158581.75705349245,1.0
10.533333333333333,6.763140360514323e-5,3.2495950789873544e-9,157923.0160029465,1.0
10.0,5.9660275777180986e-5,3.889784450871736e-9,168797.35791366672,1.0
10.466666666666667,6.397565205891927e-5,3.7112459688431863e-9,164271.95982934855,1.0
10.4,6.170272827148438e-5,4.608004638535473e-9,169375.15486530884,1.0
10.7,0.0007291555404663086,3.0466271236874726e-9,158265.18916005365,1.0
10.566666666666666,6.53982162475586e-5,4.046470640647238e-9,162431.9140544168,1.0
10.6,6.313323974609375e-5,3.8586680204204614e-9,168611.1879038848,1.0
10.466666666666667,6.595452626546224e-5,3.331704147886358e-9,159707.1933414279,1.0
10.0,5.991458892822266e-5,3.40948667503473e-9,170952.21403913293,1.0
9.966666666666667,6.167888641357422e-5,3.3585592762629834e-9,162793.60204085775,1.0
9.966666666666667,5.9938430786132814e-5,1.7653286934987446e-9,167028.75297559265,1.0
9.8,5.822976430257161e-5,4.406949345417616e-9,169244.22935628434,1.0
9.433333333333334,5.8722496032714846e-5,3.447113526102175e-9,161653.86672942727,1.0
9.9,5.893707275390625e-5,3.742360660964964e-9,169557.94653948033,1.0
9.566666666666666,5.8770179748535156e-5,4.1388746295656805e-9,164190.78766844826,1.0
9.4,5.655288696289062e-5,3.5212792950709377e-9,167732.02242615705,1.0
9.666666666666666,6.035168965657552e-5,2.9337798472591496e-9,161016.333441902,1.0
9.466666666666667,5.726019541422526e-5,3.769719261718791e-9,166335.21786258335,1.0
8.833333333333334,5.255540211995443e-5,2.2557840804261906e-9,169403.9923368829,1.0
9.066666666666666,5.462169647216797e-5,4.092575905631578e-9,167041.66492239482,1.0
9.966666666666667,6.0447057088216145e-5,2.9777006965293094e-9,165677.27169452698,1.0
9.266666666666667,5.729198455810547e-5,4.548305306263402e-9,162598.49441967005,1.0
9.966666666666667,5.888938903808594e-5,4.600168585656219e-9,170165.61918513392,1.0
9.533333333333333,5.7649612426757815e-5,4.0891625045446196e-9,166383.1523960836,1.0
9.966666666666667,5.9334437052408856e-5,2.765540458708144e-9,168977.99586978645,1.0
10.0,6.898244222005208e-5,3.569236492503587e-9,147227.7601690059,1.0
9.566666666666666,6.536642710367839e-5,3.6672546386664208e-9,146986.1104363186,1.0
9.433333333333334,6.360212961832682e-5,4.170957850907812e-9,150241.98990863928,1.0
