Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
32,0.0001609325408935547,7.060199028424781e-9,198841.0785185185,true
32,0.00014591217041015625,6.7790836902840756e-9,219310.01307189543,true
31,0.0001289844512939453,7.536965299545056e-9,240339.04621072087,true
30,0.00011706352233886719,8.883226637740222e-9,256271.12016293278,true
31,0.00011801719665527344,5.367982539559708e-9,262673.58383838384,true
31,0.00011610984802246094,4.973757110807737e-9,266988.5503080082,true
29,0.00010800361633300781,7.981057685450476e-9,268509.52759381896,true
30,0.00011801719665527344,7.527218443959748e-9,254200.24242424243,true
30,0.00011706352233886719,5.497025840724523e-9,256271.12016293278,true
31,0.00011515617370605469,5.7311837184861425e-9,269199.63561076607,true
32,0.00011205673217773438,7.498320201188422e-9,285569.6340425532,true
32,0.00011682510375976562,8.496959556614814e-9,273913.7306122449,true
32,0.00011706352233886719,7.604073485598415e-9,273355.8615071283,true
32,0.00011801719665527344,6.781494891820822e-9,271146.92525252525,true
32,0.0001251697540283203,7.20851085449305e-9,255652.81523809524,true
32,0.00011706352233886719,7.122674630442582e-9,273355.8615071283,true
32,0.0001049041748046875,7.003890727381569e-9,305040.2909090909,true
32,0.00011610984802246094,5.399336282926182e-9,275601.0841889117,true
32,0.00011301040649414062,6.931040304039121e-9,283159.76371308014,true
31,0.00011396408081054688,8.337397086794427e-9,272015.53138075315,true
31,0.00011897087097167969,4.909516483397911e-9,260567.98396793587,true
31,0.00011301040649414062,8.751674641765064e-9,274311.02109704644,true
29,0.0001049041748046875,9.458674337949448e-9,276442.7636363636,true
31,0.0001201629638671875,5.855355133054584e-9,257982.9841269841,true
31,0.00010991096496582031,4.9473257622174676e-9,282046.47288503253,true
31,0.00011801719665527344,8.164169365799095e-9,262673.58383838384,true
32,0.00011396408081054688,5.7140411579101774e-9,280790.22594142257,true
32,0.00011587142944335938,8.543802095574349e-9,276168.1646090535,true
32,0.00011801719665527344,5.845520638765253e-9,271146.92525252525,true
32,0.00012803077697753906,7.2329144789902405e-9,249939.90316573557,true
