Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
8,0.41392087936401367,1.952848941893866e-14,19.32736520151373,true
32,0.0005891323089599609,5.878913854793968e-11,54317.170376365844,true
23,0.0003299713134765625,1.0224983201408786e-11,69703.0289017341,true
10,0.00027108192443847656,1.791922760641022e-21,36889.21723834653,true
11,0.0002760887145996094,0.0,39842.26597582038,true
8,0.00028586387634277344,6.409062663700812e-22,27985.347789824853,true
19,0.0003800392150878906,0.0,49994.84065244668,true
13,0.0002751350402832031,1.2748376755290345e-11,47249.52512998267,true
32,0.00035500526428222656,2.613032581404233e-9,90139.5083948959,true
35,0.0003650188446044922,7.804014772714325e-12,95885.46048334421,true
28,0.0003540515899658203,2.9561806066652016e-9,79084.51986531986,true
37,0.00041604042053222656,6.707005801394852e-11,88933.6664756447,true
33,0.0003781318664550781,6.142745562679841e-10,87271.14249684742,true
19,0.00030303001403808594,3.603317272854013e-16,62700.05979543667,true
38,0.0003898143768310547,9.257647533335617e-13,97482.29480122324,true
33,0.0003719329833984375,2.0099095483404087e-12,88725.66153846154,true
38,0.0003921985626220703,3.715369596647853e-14,96889.6972644377,true
33,0.0003650188446044922,7.243328781218187e-15,90406.29131286741,true
29,0.0003399848937988281,4.141585852064742e-11,85297.90743338008,true
32,0.00037384033203125,8.68560387541163e-12,85598.04081632652,true
31,0.0003421306610107422,1.3628959502337662e-10,90608.65783972126,true
31,0.00034308433532714844,1.121605565558789e-9,90356.79221681724,true
34,0.000370025634765625,1.1386104100050225e-9,91885.52577319587,true
31,0.00035500526428222656,7.250773552781712e-11,87322.6487575554,true
36,0.00037789344787597656,3.177067027515349e-11,95264.94889589906,true
32,0.0003509521484375,2.315264900397214e-10,91180.52173913043,true
34,0.0003540515899658203,3.192284076146121e-13,96031.2026936027,true
35,0.00036597251892089844,2.033972828817238e-10,95635.59609120521,true
39,0.0004019737243652344,7.812868890453633e-15,97021.26690391458,true
34,0.00037288665771484375,1.2895154996735061e-9,91180.52173913043,true
