Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
7,0.432452917098999,4.747536491918646e-13,16.18673322163654,true
21,0.00020503997802734375,1.1828376547978397e-12,102419.0511627907,true
29,0.00017380714416503906,3.3422405357322722e-9,166851.59945130316,true
10,8.20159912109375e-5,4.449122788513874e-15,121927.44186046511,true
12,8.702278137207031e-5,0.0,137894.92602739725,true
6,3.695487976074219e-5,2.6008467623190765e-14,162360.15483870968,true
17,0.000102996826171875,1.576586087576254e-9,165053.62962962964,true
11,8.106231689453125e-5,8.129031873853477e-11,135698.0705882353,true
33,0.0001919269561767578,5.464944128040271e-10,171940.41242236024,true
29,0.00015997886657714844,9.271215353779604e-14,181273.9433681073,true
24,0.00013184547424316406,1.7190430118881567e-13,182031.2766726944,true
31,0.00016999244689941406,3.1094036716821707e-14,182361.04347826086,true
32,0.00017404556274414062,1.5965449002005122e-13,183859.90136986302,true
27,0.00014591217041015625,7.682876046452638e-10,185042.82352941178,true
31,0.00016999244689941406,1.2313166658414192e-12,182361.04347826086,true
32,0.00019097328186035156,4.64792027740402e-13,167562.7066167291,true
33,0.00017905235290527344,4.8254276482286606e-9,184303.637816245,true
36,0.00020313262939453125,3.739741591753391e-17,177224.11267605633,true
29,0.0001571178436279297,4.1375055016224866e-13,184574.83459787557,true
26,0.0001430511474609375,5.793112045558903e-12,181753.17333333334,true
30,0.00016307830810546875,1.8228185526609109e-10,183960.70175438595,true
30,0.0001919269561767578,2.470430562552694e-11,156309.46583850932,true
32,0.0001728534698486328,2.09627682365008e-11,185127.90068965516,true
31,0.0001690387725830078,1.3075557591955935e-10,183389.87870239775,true
34,0.00019598007202148438,1.1985143588811605e-11,173487.02676399026,true
34,0.05850791931152344,2.4496833930954414e-11,581.117913610432,true
32,0.00020694732666015625,1.2896902333064959e-11,154628.71889400922,true
35,0.00019812583923339844,5.356331314459663e-11,176655.40312876052,true
35,0.00018906593322753906,2.5310597541715626e-11,185120.605296343,true
34,0.00020003318786621094,1.0608506901807093e-12,169971.79499404054,true
