Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
7,0.43752288818359375,4.747536491918646e-13,15.999162990217448,true
22,0.0001919269561767578,2.287951101740218e-20,114626.94161490683,true
99,0.0005049705505371094,0.0,196051.03682719546,true
10,7.796287536621094e-5,4.449122788513874e-15,128266.17737003058,true
12,7.200241088867188e-5,0.0,166661.08609271524,true
6,4.00543212890625e-5,2.6008467623190765e-14,149796.57142857142,true
17,0.00011086463928222656,1.576586087576254e-9,153340.14623655914,true
11,6.890296936035156e-5,8.129031873853477e-11,159644.78892733564,true
1000,0.004508018493652344,4.1663353387798964e-8,221826.9515548974,false
29,0.00017309188842773438,9.271215353779604e-14,167541.06887052342,true
26,0.00013399124145507812,2.185439452693808e-12,194042.53380782917,true
31,0.00016808509826660156,3.1094036716821707e-14,184430.38865248227,true
32,0.00015592575073242188,1.5965449002005122e-13,205225.88379204893,true
27,0.0001380443572998047,7.682876046452638e-10,195589.30569948186,true
1000,0.004441022872924805,3.242290936812201e-6,225173.35051269663,false
32,0.00017189979553222656,4.64792027740402e-13,186154.9625520111,true
33,0.0001671314239501953,4.8254276482286606e-9,197449.40370898717,true
1000,0.00023603439331054688,Inf,4.236670707070707e6,false
29,0.00022792816162109375,4.1375055016224866e-13,127233.07112970711,true
26,0.0001537799835205078,5.793112045558903e-12,169072.71937984496,true
1000,0.004499912261962891,7.003063356886388e-6,222226.55504927415,false
30,0.00016880035400390625,2.470430562552694e-11,177724.74576271186,true
32,0.000164031982421875,2.09627682365008e-11,195083.90697674418,true
31,0.00018095970153808594,1.3075557591955935e-10,171308.85902503293,true
34,0.00017690658569335938,1.1985143588811605e-11,192191.82749326146,true
35,0.00017595291137695312,2.6428567497229086e-20,198916.8563685637,true
32,0.00016188621520996094,1.2896902333064959e-11,197669.70250368188,true
38,0.00017905235290527344,9.759726447405364e-10,212228.43142476698,true
35,0.0001800060272216797,2.5310597541715626e-11,194437.93377483444,true
34,0.00016999244689941406,1.0608506901807093e-12,200008.88639551192,true
