Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
35.0,0.004784138997395834,5.835128199474004e-9,405481.1838895485,1.0
27.0,6.334781646728515e-5,8.69424904996947e-9,430162.8178804835,1.0
10.0,2.3444493611653645e-5,5.729030263872007e-12,434863.5410869446,1.0
6.0,1.476605733235677e-5,6.427142799037888e-12,412148.69672794867,1.0
17.0,4.127025604248047e-5,4.086455246363698e-9,416795.766051639,1.0
6.0,1.5123685201009114e-5,3.750682396067984e-9,401863.60173937713,1.0
18.0,4.313786824544271e-5,3.6790313020602764e-9,421990.1638834761,1.0
21.0,4.7771135965983075e-5,6.240881338293648e-9,443047.0807803655,1.0
28.0,6.263256072998047e-5,8.819964237645493e-9,449774.6404854575,1.0
24.0,5.485216776529948e-5,5.5785295717723545e-9,440005.78921806964,1.0
18.0,4.090468088785807e-5,9.233269843758138e-9,444105.1457679263,1.0
15.0,3.6446253458658856e-5,3.7668753757214755e-9,417153.4615365043,1.0
31.0,6.871223449707031e-5,6.8563707956286245e-9,452804.9557503845,1.0
39.0,8.640289306640624e-5,4.308380428988891e-9,453131.473521554,1.0
46.0,0.00010155836741129557,4.848575857732509e-9,455367.7357638646,1.0
49.0,0.00010800361633300781,3.4907819618024425e-9,454896.83460622845,1.0
50.0,0.00010840098063151042,3.4873012299376e-9,462833.1967323038,1.0
51.0,0.00010822614034016927,3.3061698401953967e-9,471785.1842816546,1.0
48.0,0.00010516643524169922,5.84300411659301e-9,458272.30893871153,1.0
45.0,9.714762369791666e-5,4.68413504854109e-9,464999.37354979967,1.0
49.0,0.00010441939036051432,4.413213682165178e-9,471030.39902274724,1.0
47.0,0.00011142889658610026,5.104581372685592e-9,423284.9321100009,1.0
49.0,0.005975039800008138,3.863559183027583e-9,431223.6151826578,1.0
52.0,0.00010955333709716797,5.914024318782405e-9,475839.38407543924,1.0
47.0,0.00010051727294921876,3.1237047541020095e-9,468992.59740445483,1.0
46.0,9.847482045491537e-5,6.471963041930523e-9,467819.5077639672,1.0
41.0,8.805592854817708e-5,7.904035624131228e-9,466811.0361943252,1.0
31.0,6.762345631917318e-5,5.535886780144864e-9,460750.59684517595,1.0
39.0,8.351802825927735e-5,7.77237123653245e-9,468185.9087310352,1.0
31.0,6.951491038004557e-5,4.8190111801687454e-9,448960.5063281434,1.0
