Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
12,8.20159912109375e-5,4.096217455445686e-9,146312.93023255814,true
179,0.00016689300537109375,9.545895383562685e-9,1.0725434514285715e6,true
44,6.794929504394531e-5,7.824259453464913e-9,647541.6701754386,true
19,6.198883056640625e-5,5.639485314874322e-9,306506.8307692308,true
30,7.796287536621094e-5,4.9754853403749826e-9,384798.53211009176,true
22,0.00011205673217773438,7.054776071924228e-9,196329.1234042553,true
12,4.601478576660156e-5,7.0737087494756e-9,260785.74093264248,true
15,6.198883056640625e-5,2.8497904739704435e-9,241979.07692307694,true
407,0.00032210350036621094,9.743074172989815e-9,1.263569006661732e6,true
194,0.0013539791107177734,0.0,143281.3833421377,true
29,8.106231689453125e-5,4.979557760654669e-9,357749.4588235294,true
16,8.511543273925781e-5,1.4428762096014492e-9,187980.0112044818,true
117,0.00011420249938964844,9.63398691534325e-9,1.0244959665970772e6,true
138,0.00012993812561035156,9.570238453838452e-9,1.0620439486238533e6,true
18,6.4849853515625e-5,2.3046952934841294e-9,277564.23529411765,true
368,0.0002930164337158203,9.91140142896668e-9,1.2559022554922702e6,true
15,8.392333984375e-5,5.710903078434275e-9,178734.54545454544,true
13,5.793571472167969e-5,4.8529369711628645e-9,224386.63374485596,true
12,4.38690185546875e-5,2.621433441104601e-9,273541.5652173913,true
44,0.0001480579376220703,9.421601308991627e-9,297180.959742351,true
20,8.0108642578125e-5,5.287780633417645e-9,249660.95238095237,true
75,0.00024199485778808594,9.525356369762335e-9,309923.94088669954,true
35,0.00018906593322753906,5.556593434714249e-9,185120.605296343,true
15,9.012222290039062e-5,1.0966351727854559e-9,166440.6349206349,true
103,0.0003788471221923828,9.842950974987228e-9,271877.477658905,true
33,0.0001399517059326172,5.5619373087468265e-9,235795.6252129472,true
13,7.915496826171875e-5,1.0440801311654753e-9,164234.7951807229,true
365,0.001711130142211914,9.799564710536336e-9,213309.31587014074,true
40,0.00014090538024902344,6.318651340528609e-9,283878.44331641286,true
12,5.793571472167969e-5,2.273058466453946e-9,207126.1234567901,true
