Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
1000,0.00014400482177734375,Inf,6.944211920529801e6,false
1000,9.894371032714844e-5,Inf,1.0106756626506025e7,false
1000,7.796287536621094e-5,Inf,1.2826617737003058e7,false
1000,7.319450378417969e-5,Inf,1.3662228013029316e7,false
1000,8.20159912109375e-5,Inf,1.2192744186046511e7,false
1000,7.796287536621094e-5,Inf,1.2826617737003058e7,false
1000,7.200241088867188e-5,Inf,1.3888423841059603e7,false
1000,8.392333984375e-5,Inf,1.1915636363636363e7,false
1000,8.082389831542969e-5,Inf,1.2372578171091445e7,false
1000,6.890296936035156e-5,Inf,1.4513162629757786e7,false
1000,8.0108642578125e-5,Inf,1.248304761904762e7,false
1000,7.605552673339844e-5,Inf,1.3148288401253918e7,false
1000,7.390975952148438e-5,Inf,1.3530012903225806e7,false
1000,7.319450378417969e-5,Inf,1.3662228013029316e7,false
1000,7.295608520507812e-5,Inf,1.3706875816993464e7,false
1000,7.700920104980469e-5,Inf,1.2985461300309598e7,false
1000,6.890296936035156e-5,Inf,1.4513162629757786e7,false
1000,7.414817810058594e-5,Inf,1.3486508038585208e7,false
1000,7.605552673339844e-5,Inf,1.3148288401253918e7,false
1000,7.510185241699219e-5,Inf,1.3315250793650793e7,false
1000,6.985664367675781e-5,Inf,1.431503071672355e7,false
1000,7.390975952148438e-5,Inf,1.3530012903225806e7,false
1000,7.104873657226562e-5,Inf,1.4074845637583893e7,false
1000,7.104873657226562e-5,Inf,1.4074845637583893e7,false
1000,7.605552673339844e-5,Inf,1.3148288401253918e7,false
1000,7.104873657226562e-5,Inf,1.4074845637583893e7,false
1000,6.985664367675781e-5,Inf,1.431503071672355e7,false
1000,7.009506225585938e-5,Inf,1.426634013605442e7,false
1000,6.794929504394531e-5,Inf,1.4716856140350876e7,false
1000,7.605552673339844e-5,Inf,1.3148288401253918e7,false
