Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
33,0.3863790035247803,2.2089017939956055e-11,85.40836768808416,true
69,0.0007431507110595703,0.0,92847.92300288739,true
71,0.00049591064453125,1.4654943925052066e-14,143170.95384615383,true
46,0.0008378028869628906,1.7319479184152442e-14,54905.51622083096,true
43,0.0006399154663085938,1.5614962665097238e-9,67196.37555886737,true
52,0.0010371208190917969,3.249410580691461e-12,50138.80643678161,true
41,0.0005290508270263672,0.0,77497.2798557909,true
53,0.0012500286102294922,2.62456723021387e-13,42399.02956322716,true
64,0.0015201568603515625,4.3358650085583204e-11,42100.91844416562,true
50,0.0009400844573974609,0.0,53186.71062642658,true
1000,0.06966996192932129,Inf,14353.38806434944,false
68,0.0017900466918945312,1.593280177763638e-9,37987.83590836441,true
73,0.0023620128631591797,8.903011677181178e-11,30905.843544968204,true
48,0.0009169578552246094,0.0,52347.007800312014,true
39,0.0005240440368652344,4.5264936139638637e-10,74421.22656960874,true
49,0.0006928443908691406,5.421210164223633e-10,70722.95113558155,true
1000,0.07782697677612305,Inf,12849.015102778543,false
59,0.0012879371643066406,3.9968028886505635e-15,45809.68826360607,true
45,0.0006039142608642578,1.5720758028692217e-13,74513.88866956178,true
72,0.002271890640258789,1.610759559818665e-12,31691.666281876376,true
51,0.0009100437164306641,2.851052727237402e-13,56041.26381975373,true
64,0.001834869384765625,4.6069900245576595e-12,34879.866943866946,true
45,0.0007781982421875,4.504857098303746e-11,57825.882352941175,true
53,0.000698089599609375,7.423034199824958e-9,75921.48633879781,true
54,0.0005588531494140625,6.54996315745505e-11,96626.45733788396,true
45,0.0008599758148193359,4.18215648056813e-9,52327.05295259218,true
44,0.0004260540008544922,3.3641264791630347e-9,103273.2937884723,true
57,0.0008921623229980469,2.0783802025452048e-13,63889.71886691609,true
47,0.00074005126953125,0.0,63509.113402061856,true
48,0.0008568763732910156,7.993605777301127e-15,56017.41569282137,true
