Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
1000,0.39174604415893555,Inf,2552.6741492615797,false
18,0.0002720355987548828,2.4774139877183938e-12,66167.8106923751,true
1000,0.00016999244689941406,Inf,5.8826143057503505e6,false
1000,0.00012302398681640625,Inf,8.128496124031007e6,false
1000,8.916854858398438e-5,Inf,1.1214716577540107e7,false
1000,9.107589721679688e-5,Inf,1.097985340314136e7,false
110,0.0006380081176757812,2.3035665827516284e-12,172411.5994020927,true
64,0.0003218650817871094,9.251222991597074e-13,198841.0785185185,true
38,0.0002391338348388672,9.251222991597074e-13,158906.83150548354,true
1000,0.00029206275939941406,Inf,3.4239216326530613e6,false
172,0.0008559226989746094,9.251222991597074e-13,200952.72646239554,true
58,0.0003180503845214844,9.251222991597074e-13,182361.04347826086,true
1000,0.0004730224609375,Inf,2.1140645161290322e6,false
199,0.0009961128234863281,3.1085560484023644e-10,199776.56677836285,true
1000,0.0005021095275878906,Inf,1.9915973409306742e6,false
1000,0.0004379749298095703,Inf,2.283235710397387e6,false
1000,0.0004360675811767578,Inf,2.2932225259704757e6,false
1000,0.0002999305725097656,Inf,3.3341049284578697e6,false
110,0.0005848407745361328,2.4774139877183938e-12,188085.38116591927,true
1000,0.0006349086761474609,Inf,1.575029665790462e6,false
1000,0.0008289813995361328,Inf,1.2062996836353177e6,false
146,0.0007169246673583984,9.251222991597074e-13,203647.6168939142,true
1000,0.0009670257568359375,Inf,1.0340986193293886e6,false
1000,0.0008978843688964844,Inf,1.1137291556027615e6,false
1000,8.296966552734375e-5,Inf,1.2052597701149425e7,false
1000,7.700920104980469e-5,Inf,1.2985461300309598e7,false
1000,0.0009069442749023438,Inf,1.1026035751840167e6,false
1000,0.0008790493011474609,Inf,1.1375926227285056e6,false
1000,0.0008890628814697266,Inf,1.124779833735586e6,false
1000,0.0007231235504150391,Inf,1.382889548302011e6,false
