Iterations,Execution time,Last Gradient,Not divergency number,Percentage of convergence
0.0,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,0.0
0.0,Inf,Inf,Inf,0.0
20.0,8.79526138305664e-5,2.4302646611892096e-12,228678.21295279998,1.0
20.0,8.799235026041667e-5,1.765751818705147e-11,229708.718719943,1.0
31.0,0.0001289208730061849,2.3546412016070096e-12,241030.99342658577,1.0
30.0,0.00012526512145996093,2.4409224009824537e-12,240530.8520594485,1.0
52.47826086956522,0.00021502246027407438,8.54887527154269e-11,245167.95814640942,0.7666666666666667
77.65217391304348,0.00030421174090841544,3.921526530622788e-10,255514.2694323988,0.7666666666666667
102.8,0.0003927111625671387,1.358276590029007e-9,263142.4606676126,0.6666666666666666
121.0,0.00047431886196136475,1.982358810100069e-11,255632.48893027287,0.5333333333333333
72.23529411764706,0.010609907262465534,1.321741174785415e-9,243589.5390444966,0.5666666666666667
115.1875,0.0004356503486633301,1.8439509217861013e-9,264761.2447989425,0.5333333333333333
153.0,0.0005471209685007731,2.7810995976859474e-10,281674.74539248133,0.8
162.5,0.0005908012390136719,9.902087235420305e-10,277414.83470919717,0.6
129.35,0.000466310977935791,4.0736028151846115e-11,279307.6718720374,0.6666666666666666
119.875,0.00043531258900960285,1.9365247356201383e-10,278050.484412507,0.8
136.7058823529412,0.0005274099462172564,2.931119576372712e-10,260745.90117603014,0.5666666666666667
108.52631578947368,0.000446344676770662,2.358847702996449e-11,243766.58327606556,0.6333333333333333
75.9,0.00031599998474121096,1.4286107428183387e-10,238930.05665855383,0.6666666666666666
72.85,0.00031402111053466795,7.317545878804457e-10,232653.2464891795,0.6666666666666666
119.3157894736842,0.0005268799631219162,1.094352756912258e-9,227050.99951663296,0.6333333333333333
126.77777777777777,0.001140700446234809,8.969761745319925e-10,251994.18828846063,0.6
126.72222222222223,0.00045866436428493925,7.079026644696074e-10,277351.47064311046,0.6
94.94736842105263,0.0003577157070762233,4.0637578554397965e-11,267552.70337129734,0.6333333333333333
60.5,0.00022649765014648438,1.5050594040816758e-10,265618.5008612363,0.4
81.07692307692308,0.00029816994300255407,7.368753478042303e-10,270265.3534858457,0.43333333333333335
80.07692307692308,0.0003018746009239784,9.384570226929018e-10,257090.01984237548,0.43333333333333335
23.2,9.444554646809896e-5,1.6642202854925158e-10,246484.9397080566,0.5
