Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
24,0.3925821781158447,4.2552401228276905e-9,61.133697192229604,true
21,0.0004878044128417969,7.018961907037749e-9,43050.04105571847,true
21,0.00032782554626464844,4.0015112519857e-9,64058.46109090909,true
23,0.0003139972686767578,5.0631753513417226e-9,73249.04479878512,true
29,0.0003108978271484375,3.984194334726011e-9,93278.23312883436,true
24,0.0002830028533935547,3.932519363013117e-9,84804.79865206403,true
24,0.0002810955047607422,8.557539514269286e-9,85380.23409669212,true
29,0.000308990478515625,7.028798676096286e-9,93854.02469135802,true
50,0.00036907196044921875,5.128407997888717e-9,135474.93540051678,true
55,0.00037288665771484375,4.429607554863942e-9,147497.90281329924,true
64,0.0004038810729980469,5.8052089304108015e-9,158462.48878394332,true
70,0.0004429817199707031,3.916022449482862e-9,158020.0645855759,true
89,0.0005290508270263672,4.122810412078455e-9,168225.80261379,true
70,0.00047278404235839844,3.913078932330398e-9,148059.142713061,true
92,0.0005171298980712891,6.892294480244773e-9,177905.01060396497,true
87,0.0004858970642089844,4.910806433328024e-9,179050.2688910697,true
85,0.000476837158203125,6.547830433762905e-9,178257.92,true
58,0.0003898143768310547,4.567560556782078e-9,148788.76574923546,true
96,0.0005099773406982422,4.968966374536788e-9,188243.65778401121,true
129,0.0006058216094970703,9.560565736693022e-9,212933.96930342386,true
170,0.0007030963897705078,9.426561864886613e-9,241787.61614106476,true
150,0.0006861686706542969,7.492327310507586e-9,218605.1424600417,true
176,0.0007710456848144531,5.982141968116989e-9,228261.44217687074,true
169,0.0007460117340087891,8.851487501198137e-9,226537.99169063597,true
1000,0.21013712882995605,2.0293993354299264e80,4758.797293786214,false
1000,0.2104787826538086,1.4575656262004262e79,4751.072708572154,false
185,0.0008151531219482422,4.2440693924685425e-9,226951.22550453348,true
178,0.0007669925689697266,4.184754617452947e-9,232075.26018029219,true
171,0.000782012939453125,6.952147630769647e-9,218666.45853658536,true
140,0.0006549358367919922,4.5913608061162764e-9,213761.39788860574,true
