Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
24,0.39548683166503906,4.258501129614883e-9,60.6847006737433,true
21,0.0001690387725830078,7.019113467913825e-9,124231.8533145275,true
21,0.00012493133544921875,3.958777674866972e-9,168092.33587786258,true
23,0.00011801719665527344,5.063175596206888e-9,194886.85252525253,true
29,0.0001678466796875,3.996779950584539e-9,172776.72727272726,true
24,0.00011587142944335938,3.985639817836737e-9,207126.1234567901,true
84,0.00036597251892089844,8.179152333828657e-9,229525.4306188925,true
29,0.0001399517059326172,7.0320217571188926e-9,207214.33730834752,true
111,0.0004730224609375,4.30683894191984e-10,234661.16129032258,true
77,0.0003368854522705078,7.273358923578358e-11,228564.33687190374,true
92,0.00040602684020996094,1.073505792765967e-11,226586.0058719906,true
104,0.0004680156707763672,8.835398408904808e-9,222214.78145695364,true
122,0.0005350112915039062,7.303446554944956e-9,228032.57040998217,true
112,0.000553131103515625,9.195435505933653e-9,202483.64137931034,true
100,0.0004661083221435547,9.636503111097995e-9,214542.4040920716,true
96,0.0004439353942871094,5.142874964168381e-9,216247.6820622986,true
1000,0.20862293243408203,1.6847423339118784e-8,4793.3368989335195,false
70,0.0003268718719482422,8.562037416793048e-9,214151.18891320203,true
111,0.0004940032958984375,9.630406725719475e-9,224694.85714285713,true
1000,0.13861298561096191,1.2714350192685928e-8,7214.331295097053,false
205,0.0009188652038574219,5.865518537597055e-9,223101.27659574468,true
202,0.0009179115295410156,8.999178637954612e-9,220064.7812987013,true
199,0.0008809566497802734,9.28790173074734e-9,225890.79729364006,true
178,0.0007960796356201172,9.251222991597074e-13,223595.72087451332,true
1000,9.202957153320312e-5,Inf,1.0866072538860103e7,false
1000,0.00017690658569335938,Inf,5.652700808625337e6,false
193,0.0009610652923583984,9.174359553817127e-9,200818.8221285041,true
182,0.0008251667022705078,9.74008418909272e-9,220561.4932100549,true
214,0.0009260177612304688,9.228423581594357e-9,231097.07929969105,true
150,0.0006480216979980469,9.251223270700727e-13,231473.7306843267,true
