Iterations,Execution time,Last Gradient,Itters Per Second,Percentage of convergence
367,0.41095805168151855,9.341825579110321e-11,893.0351857040998,true
304,0.001847982406616211,1.3452698413867862e-9,164503.73061540446,true
326,0.0018329620361328125,9.341825565170357e-11,177854.2018730489,true
355,0.0021669864654541016,9.341825564673923e-11,163821.97381450105,true
141,0.0009338855743408203,9.341830789687363e-11,150982.09446004595,true
176,0.0010008811950683594,9.34182556419777e-11,175845.04621248212,true
98,0.0005700588226318359,9.34182556420107e-11,171912.08364700963,true
81,0.0004968643188476562,9.341825567156586e-11,163022.37236084454,true
211,0.001252889633178711,9.40318503304036e-11,168410.68392007612,true
243,0.02434086799621582,9.341825600598291e-11,9983.210131938527,true
374,0.002218008041381836,9.341825564358727e-11,168619.76738686446,true
265,0.001608133316040039,9.341826332290779e-11,164787.33283914012,true
268,0.0015971660614013672,9.341825943453243e-11,167797.20435885954,true
297,0.001837015151977539,8.79207708978557e-9,161675.31317326412,true
287,0.0017750263214111328,9.341825564199768e-11,161687.74318334452,true
246,0.001444101333618164,9.341825564200586e-11,170348.15651312532,true
250,0.06269502639770508,9.34225595264942e-11,3987.5571375331797,true
196,0.0011858940124511719,9.35980901962865e-11,165276.15279453158,true
299,0.0016331672668457031,9.34185360696062e-11,183079.8388321168,true
336,0.0018100738525390625,9.341901001952037e-11,185627.78503688093,true
314,0.0018281936645507812,9.34191700971615e-11,171754.2326551904,true
310,0.0018301010131835938,9.34182630700139e-11,169389.55706096927,true
298,0.0016388893127441406,9.341833341639816e-11,181830.46144893803,true
318,0.0018000602722167969,9.341825648043257e-11,176660.75125827815,true
297,0.00189208984375,9.34182563458281e-11,156969.29032258064,true
313,0.0024940967559814453,9.341825567243064e-11,125496.33419367173,true
309,0.002103090286254883,9.341825568286193e-11,146926.64505158146,true
279,0.0014798641204833984,9.341825564197931e-11,188530.822619623,true
275,0.0015439987182617188,9.341832798639327e-11,178108.95614576899,true
268,0.0015249252319335938,9.341825564333707e-11,175746.3214509068,true
