Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
7,0.4017479419708252,1.1905666933281066e-11,17.42386025840137,true
7,0.00011801719665527344,5.498283554013366e-14,59313.3898989899,true
7,4.9114227294921875e-5,1.5261427923575714e-13,142524.8932038835,true
7,4.506111145019531e-5,7.753731308536453e-11,155344.59259259258,true
7,4.38690185546875e-5,2.4835218961088695e-12,159565.91304347827,true
7,5.4836273193359375e-5,1.253118716615906e-12,127652.73043478261,true
7,3.814697265625e-5,9.471416734381233e-12,183500.8,true
7,4.506111145019531e-5,9.613685227615921e-14,155344.59259259258,true
7,4.100799560546875e-5,2.3292479056635784e-13,170698.41860465117,true
7,3.504753112792969e-5,3.394020287474117e-12,199728.7619047619,true
8,6.389617919921875e-5,2.3339793179666983e-12,125203.10447761194,true
7,3.790855407714844e-5,7.13702068054218e-13,184654.893081761,true
7,4.792213439941406e-5,1.429636219230909e-13,146070.28855721393,true
7,3.790855407714844e-5,6.689425400031005e-12,184654.893081761,true
7,4.410743713378906e-5,2.9120528238247382e-12,158703.3945945946,true
7,4.482269287109375e-5,2.339996449431409e-12,156170.89361702127,true
8,5.0067901611328125e-5,2.313682110365245e-11,159783.00952380954,true
7,4.506111145019531e-5,1.356399096403529e-10,155344.59259259258,true
7,3.910064697265625e-5,1.1681656718533678e-12,179025.17073170733,true
7,4.482269287109375e-5,1.1269136031844131e-10,156170.89361702127,true
7,3.910064697265625e-5,8.54693959446067e-13,179025.17073170733,true
7,3.695487976074219e-5,4.3820775681626285e-12,189420.18064516128,true
8,5.0067901611328125e-5,2.6801439178356423e-12,159783.00952380954,true
7,3.814697265625e-5,1.3826036986115543e-9,183500.8,true
7,4.220008850097656e-5,6.595495433873246e-9,165876.4293785311,true
8,4.887580871582031e-5,2.2831370446100748e-12,163680.15609756098,true
8,5.0067901611328125e-5,7.451574779049501e-13,159783.00952380954,true
9,5.412101745605469e-5,0.0,166293.99118942732,true
8,4.482269287109375e-5,7.928225051824162e-13,178481.02127659574,true
8,4.601478576660156e-5,4.965068306494546e-14,173857.16062176166,true
