Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
7,0.39841604232788086,1.1905666933281066e-11,17.56957365245668,true
7,0.0001010894775390625,5.498283554013366e-14,69245.58490566038,true
7,5.1975250244140625e-5,1.5261427923575714e-13,134679.48623853212,true
7,4.410743713378906e-5,7.753731308536453e-11,158703.3945945946,true
7,4.291534423828125e-5,2.4835218961088695e-12,163111.82222222222,true
7,3.0040740966796875e-5,1.253118716615906e-12,233016.88888888888,true
7,3.0040740966796875e-5,9.471416734381233e-12,233016.88888888888,true
7,3.0040740966796875e-5,9.613685227615921e-14,233016.88888888888,true
7,3.409385681152344e-5,2.3292479056635784e-13,205315.58041958042,true
7,3.2901763916015625e-5,3.394020287474117e-12,212754.5507246377,true
8,3.695487976074219e-5,2.3339793179666983e-12,216480.2064516129,true
7,2.5987625122070312e-5,7.13702068054218e-13,269358.97247706424,true
7,3.1948089599609375e-5,1.429636219230909e-13,219105.4328358209,true
7,3.600120544433594e-5,6.689425400031005e-12,194437.93377483444,true
7,4.00543212890625e-5,2.9120528238247382e-12,174762.66666666666,true
7,3.314018249511719e-5,2.339996449431409e-12,211223.94244604316,true
8,3.790855407714844e-5,2.313682110365245e-11,211034.1635220126,true
7,3.504753112792969e-5,1.356399096403529e-10,199728.7619047619,true
7,2.9802322387695312e-5,1.1681656718533678e-12,234881.024,true
7,3.409385681152344e-5,1.1269136031844131e-10,205315.58041958042,true
7,2.8133392333984375e-5,8.54693959446067e-13,248814.64406779662,true
7,3.314018249511719e-5,4.3820775681626285e-12,211223.94244604316,true
8,3.981590270996094e-5,2.6801439178356423e-12,200924.74251497007,true
7,2.9802322387695312e-5,1.3826036986115543e-9,234881.024,true
7,3.3855438232421875e-5,6.595495433873246e-9,206761.46478873238,true
8,4.100799560546875e-5,2.2831370446100748e-12,195083.90697674418,true
8,3.790855407714844e-5,7.451574779049501e-13,211034.1635220126,true
9,4.601478576660156e-5,0.0,195589.30569948186,true
8,3.600120544433594e-5,7.928225051824162e-13,222214.78145695364,true
8,3.600120544433594e-5,4.965068306494546e-14,222214.78145695364,true
