Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
6.0,0.004814823468526204,7.536090524772609e-17,325146.69705069956,1.0
8.0,2.1386146545410157e-5,7.234967255099845e-12,397392.7170549067,1.0
6.0,1.472632090250651e-5,5.071217325548011e-15,414557.8800328473,1.0
6.0,1.350243886311849e-5,1.2499581236767674e-16,448204.4519399053,1.0
5.033333333333333,1.254876454671224e-5,2.9630342272014874e-9,406395.94604806305,1.0
5.033333333333333,1.2318293253580729e-5,1.13933343236037e-9,411786.83150364656,1.0
5.033333333333333,1.2620290120442708e-5,5.5860103253409065e-11,402228.13543883216,1.0
5.0,1.2413660685221355e-5,4.466945546726537e-12,406621.64658883854,1.0
5.0,1.2429555257161458e-5,5.143450915601829e-9,406167.21020909504,1.0
6.0,1.3065338134765624e-5,7.466421004228207e-15,462347.0866703825,1.0
6.0,1.556873321533203e-5,6.766268687615267e-12,389339.9165326414,1.0
6.0,1.4384587605794271e-5,6.043527064968319e-17,421888.18349527504,1.0
6.0,1.4487902323404948e-5,2.0687387668693337e-15,417147.7336562425,1.0
6.0,1.5767415364583335e-5,5.383276056284075e-14,382705.8123859888,1.0
6.0,1.5083948771158854e-5,4.378517693752623e-17,402167.1131326652,1.0
6.0,1.3860066731770833e-5,2.992564076928715e-15,437678.1944680517,1.0
6.0,1.476605733235677e-5,3.944707136332765e-16,412583.053409032,1.0
6.0,1.5536944071451824e-5,2.7104539059295635e-16,391068.6460757206,1.0
6.0,1.4742215474446615e-5,1.6120890304124187e-16,414077.3945686528,1.0
6.0,1.5942255655924478e-5,3.1353068348536295e-15,380452.13430301956,1.0
6.0,1.5616416931152344e-5,4.70755829577494e-13,391443.4277419417,1.0
6.0,1.4917055765787761e-5,1.9075359064784396e-12,407274.451531142,1.0
6.0,1.598993937174479e-5,6.967889380228926e-10,408196.5161716113,1.0
8.0,2.056757609049479e-5,2.057398882765621e-15,391618.1722870711,1.0
8.0,2.0424524943033855e-5,5.75707168305685e-12,398587.97836501815,1.0
6.0,1.5425682067871094e-5,2.8208632971370104e-12,393365.6207670729,1.0
8.0,2.1004676818847655e-5,4.594838452804914e-11,383928.64842728985,1.0
7.0,1.6808509826660156e-5,6.8191576932246415e-15,420618.42214930855,1.0
6.0,1.3526280721028646e-5,2.1938791108145216e-10,448447.58459347714,1.0
6.033333333333333,1.4297167460123698e-5,1.4120044662119165e-10,427137.0042936584,1.0
