Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
19.0,0.0051938056945800785,5.5478733725116886e-9,256961.40890497083,1.0
19.0,6.78698221842448e-5,4.439997868037689e-9,283281.03347192996,1.0
21.0,7.500648498535157e-5,3.919623428393146e-9,281934.9165679321,1.0
22.0,8.058547973632812e-5,5.744445748382413e-9,273797.23869275546,1.0
22.0,7.815361022949219e-5,9.403442250270936e-9,282061.7217480235,1.0
23.0,8.285840352376303e-5,6.4634872528326315e-9,279177.3369807921,1.0
24.0,8.484522501627604e-5,3.159997612757401e-9,283708.91758388496,1.0
24.0,8.416970570882162e-5,3.2014327560074367e-9,285970.8693387099,1.0
24.0,8.605321248372396e-5,5.026053909545343e-9,279817.1468347328,1.0
24.0,8.512338002522787e-5,7.978252953607855e-9,282967.64643946395,1.0
25.0,8.786519368489584e-5,3.916281251067436e-9,285176.8035626285,1.0
25.0,8.839766184488932e-5,5.104251936699515e-9,283802.76581796806,1.0
25.0,8.765856424967448e-5,4.794785815721445e-9,285889.08010139834,1.0
25.0,8.79685084025065e-5,6.839769642777746e-9,285228.2898683317,1.0
25.0,8.890628814697265e-5,5.161685206024902e-9,282143.92655995075,1.0
25.0,8.900165557861328e-5,8.153106256406385e-9,281445.082442737,1.0
25.0,8.977254231770834e-5,9.457481107449576e-9,279426.4553316316,1.0
25.0,9.016990661621093e-5,3.7569675903486425e-9,277764.61656361324,1.0
24.0,8.643468221028646e-5,6.062802740245355e-9,278550.92919821583,1.0
24.0,8.500417073567709e-5,7.360213130787284e-9,283816.9289055143,1.0
24.0,8.512338002522787e-5,8.393737531332021e-9,282752.44795521867,1.0
25.0,9.288787841796876e-5,3.6523822340185397e-9,269963.0825343136,1.0
24.0,8.558432261149088e-5,8.642608402309651e-9,281283.7034082422,1.0
24.0,8.845329284667969e-5,7.229543833966633e-9,271969.4985698167,1.0
25.0,9.392897288004557e-5,3.499452612248114e-9,267627.1672643689,1.0
24.0,9.323755900065104e-5,9.224879493580904e-9,261157.01815876065,1.0
24.0,9.264151255289713e-5,8.773788644451042e-9,260231.19908149244,1.0
25.0,9.717146555582682e-5,4.115820459142032e-9,259419.09253695808,1.0
25.0,0.0010320345560709636,4.058607342024961e-9,266000.15074259083,1.0
25.0,8.631547292073568e-5,3.1860012286755087e-9,290426.24589367077,1.0
