Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
19.0,0.004833285013834635,5.5478733725116886e-9,275892.94126099773,1.0
19.0,6.369749704996745e-5,4.439997868037689e-9,303254.93167616025,1.0
21.0,6.690820058186849e-5,3.919623428393146e-9,315481.2798445132,1.0
22.0,7.378260294596354e-5,5.744445748382413e-9,299421.87262909824,1.0
22.0,7.328192392985026e-5,9.403442250270936e-9,301830.2378769303,1.0
23.0,7.512569427490235e-5,6.4634872528326315e-9,307533.72880702873,1.0
24.0,7.683436075846354e-5,3.159997612757401e-9,313816.5761105012,1.0
24.0,7.735093434651693e-5,3.2014327560074367e-9,311465.87262399396,1.0
24.0,7.717609405517578e-5,5.026053909545343e-9,312124.99880077346,1.0
24.0,7.747014363606771e-5,7.978252953607855e-9,310893.4767483777,1.0
25.0,7.959206899007161e-5,3.916281251067436e-9,315380.1718782083,1.0
25.0,7.882118225097657e-5,5.104251936699515e-9,317885.8673269293,1.0
25.0,7.905165354410807e-5,4.794785815721445e-9,317838.4482525457,1.0
25.0,8.18014144897461e-5,6.839769642777746e-9,306950.88030302577,1.0
25.0,7.913112640380859e-5,5.161685206024902e-9,316781.3610110018,1.0
25.0,7.940928141276042e-5,8.153106256406385e-9,316031.25328164804,1.0
25.0,8.12371571858724e-5,9.457481107449576e-9,309615.75336645456,1.0
25.0,7.983048756917317e-5,3.7569675903486425e-9,314240.3643863287,1.0
24.0,7.792313893636067e-5,6.062802740245355e-9,309220.690467137,1.0
24.0,7.560253143310547e-5,7.360213130787284e-9,318525.1589976925,1.0
24.0,7.657210032145183e-5,8.393737531332021e-9,314710.84891156125,1.0
25.0,8.637110392252604e-5,3.6523822340185397e-9,291351.2200615259,1.0
24.0,8.392333984375e-5,8.642608402309651e-9,288034.84997860156,1.0
24.0,0.0060828208923339845,7.229543833966633e-9,295869.4480570942,1.0
25.0,7.82330830891927e-5,3.499452612248114e-9,320585.58625703154,1.0
24.0,7.692972819010417e-5,9.224879493580904e-9,315298.30915408704,1.0
24.0,7.527669270833334e-5,8.773788644451042e-9,319704.9794859031,1.0
25.0,8.087158203125e-5,4.115820459142032e-9,310865.1028122288,1.0
25.0,7.921059926350912e-5,4.058607342024961e-9,317159.6802441655,1.0
25.0,7.894039154052735e-5,3.1860012286755087e-9,318263.02097064775,1.0
