Iterations,Execution time,Last Gradient,Itters Per Second* ,Percentage of convergence
1000,0.0008001327514648438,3.4552620529929426e-6,1.249792610250298e6,false
1000,0.0007851123809814453,3.7544680396082637e-6,1.2737030063771636e6,false
1000,0.0007789134979248047,3.877782686159808e-6,1.2838396082032446e6,false
1000,0.0007648468017578125,3.850285463577854e-6,1.3074513715710724e6,false
1000,0.0007410049438476562,3.6782394945834106e-6,1.3495186615186615e6,false
1000,0.0007441043853759766,3.2249814533582246e-6,1.3438974687600129e6,false
1000,0.0007560253143310547,3.905062403205189e-6,1.322707032481867e6,false
1000,0.0007882118225097656,3.2587661616335976e-6,1.2686944948578342e6,false
1000,0.0007719993591308594,3.4647600512214054e-6,1.29533786287832e6,false
1000,0.0008029937744140625,3.0840750540845624e-6,1.2453396674584323e6,false
1000,0.0008339881896972656,3.796180780606003e-6,1.1990577472841623e6,false
1000,0.0007658004760742188,3.562562241365534e-6,1.3058231631382317e6,false
1000,0.0007371902465820312,3.906683137120002e-6,1.356501940491591e6,false
1000,0.0007700920104980469,3.876504861044167e-6,1.2985461300309598e6,false
1000,0.0007560253143310547,3.2168260633363352e-6,1.322707032481867e6,false
1000,0.0007660388946533203,3.426977558671803e-6,1.305416744475568e6,false
1000,0.0007560253143310547,3.5339915623821762e-6,1.322707032481867e6,false
1000,0.0007350444793701172,3.89093646547838e-6,1.360461887771651e6,false
1000,0.0007538795471191406,3.21266940487591e-6,1.326471853257432e6,false
1000,0.0007660388946533203,3.686608973140857e-6,1.305416744475568e6,false
1000,0.0007660388946533203,3.638719013781128e-6,1.305416744475568e6,false
1000,0.0007779598236083984,3.894037062866887e-6,1.2854134232301563e6,false
1000,0.0008580684661865234,3.924728710118805e-6,1.1654081689358156e6,false
1000,0.0007519721984863281,3.224010695198879e-6,1.329836398224477e6,false
1000,0.0007419586181640625,3.31262132504231e-6,1.3477840616966581e6,false
1000,0.0007770061492919922,3.6881471954526676e-6,1.2869911015648972e6,false
1000,0.0007719993591308594,3.021772597799464e-6,1.29533786287832e6,false
1000,0.0007619857788085938,3.929115708674091e-6,1.312360450563204e6,false
1000,0.0007421970367431641,3.898767600315858e-6,1.3473511082557018e6,false
1000,0.0007588863372802734,3.2128945140283286e-6,1.3177203895695885e6,false
